,star,Gaia DR3 ID,AllWISE ID,GALEX ID,ra,dec,distance,vsini,VSX Period,Av,fe_h,m_G,Gaia G flux_over_error,m_BP,Gaia BP flux_over_error,m_RP,Gaia RP flux_over_error,2MASS J,2MASS J error,2MASS H,2MASS H error,2MASS K,2MASS K error,WISE W1,WISE W1 error,WISE W2,WISE W2 error,WISE W3,WISE W3 error,WISE W4,WISE W4 error,GALEX FUV,GALEX FUV Error,GALEX NUV,GALEX NUV Error,Li Profile,H-alpha Profile,Ca II H Profile,Ca II K Profile,ALLWISE_ccf,ALLWISE_qph,leiner_class,updated_class,non_single_star,gaia_period_orbit,gaia_eccentricity,Gaia mean RV,Gaia_RV_err,Gaia N_transits,Gaia visibility_periods_used,mean_ground_RV,ground_RV_err,delta_RV,combined_RV_std,N_ground_obs,sigma,period,period_error
0,ZTF J012055.17+450752.0,397690027169628672,J012055.15+450752.0,GALEX J012055.2+450751,20.22989802135057,45.13109930192633,1278.252760095554,,19.6,0.21,-0.1374,13.969478,465.75458,14.659923,131.78044,13.169201,181.62553,12.061,0.023,11.422,0.021,11.235,0.018,10.995,0.022,11.004,0.019,10.889,0.078,8.849,,19.787900924682617,0.1622,19.6560001373291,0.1186000034213066,,,,,0000,AAAU,SSG,SSG,0,,,-25.816519,7.5101447,11.0,10.0,,,,,0,,,
1,CSS J075410.6+141829,654503129867566080,J075410.69+141828.5,GALEX J075410.6+141828,118.5445447633228,14.307919043848198,1446.344040984256,,5.6,0.1,-0.219,13.5673,125.816734,14.12602,38.804405,12.821387,50.025593,11.883,0.022,11.284,0.023,11.143,0.017,11.002,0.022,10.968,0.021,10.852,0.121,8.78,,17.534000396728516,0.0424,17.676700592041016,0.0287999995052814,,,,,d000,AABU,cut,SSG,0,,,34.388382,4.494503,17.0,11.0,,,,,2,,,
2,AD LMi,755517221614519808,J102622.67+374513.2,GALEX J102622.6+374513,156.59430088264716,37.753687957518295,186.4178737924433,,17.8,0.03,-0.0754,9.442951,851.0721,10.001666,266.85303,8.726802,353.1219,7.742,0.023,7.221,0.017,7.099,0.018,6.987,0.053,7.028,0.023,6.941,0.02,6.79,0.088,16.09950065612793,0.0311,15.799400329589844,0.0175000000745058,,,,,hH00,AAAA,cut,SSG,0,,,42.9927,3.3438952,31.0,15.0,,,,,2,,,
3,HD 57267,871136882231721600,J072132.82+260933.4,GALEX J072132.9+260932,110.38671581895238,26.15918964218921,467.2491182054069,,35.37,0.19,,7.1526604,487.19064,7.6314354,156.85643,6.5017786,167.59093,5.655,0.018,5.127,0.036,4.963,0.026,4.921,0.169,4.667,0.081,4.812,0.024,4.767,0.029,12.687700271606444,0.0043,12.444700241088867,0.0024000001139938,Yes,Absorption,Too Little Data,Too Little Data,HHH0,BAAA,RS,-999,0,,,1.1989115,10.905407,11.0,10.0,46.551199999999994,24.24428504149655,45.35228849999999,26.584079051360465,1,1.7059943439221397,36.216,0.0006
4,CSS J081117.6+360733,906058127442277248,J081117.61+360734.5,GALEX J081117.5+360735,122.82341623216344,36.12622457444471,683.1188700452624,,3.29,0.14,-0.5887,13.1815405,116.206375,13.814442,33.142193,12.383061,38.353878,11.301,0.022,10.655,0.022,10.502,0.019,10.441,0.023,10.415,0.02,10.27,0.074,8.687,,20.51160049438477,0.2668,19.450000762939453,0.0684999972581863,,,,,hh00,AAAU,SSG,SSG,0,,,11.965029,7.800264,14.0,11.0,,,,,0,,,
5,ZTF J141527.19+164234.7,1232279031219489792,J141527.19+164234.6,GALEX J141527.2+164234,213.86331697532407,16.709618153537107,685.9549040226445,,1.08,0.06,-0.2297,12.897329,830.90967,13.4243965,264.86,12.213857,263.2788,11.434,0.022,10.849,0.027,10.74,0.021,10.604,0.023,10.593,0.021,10.455,0.065,8.853,,19.78300094604492,0.2078,19.344200134277344,0.0957000032067298,,,,,0000,AAAU,RS,SSG,0,,,,,,,,,,,0,,,
6,ZTF J161259.34+250041.0,1303115931129472896,J161259.34+250040.8,GALEX J161259.3+250041,243.24724886340297,25.01135528579744,1226.2429332807578,,12.54,0.19,-0.1321,14.376841,650.6218,15.073069,172.47253,13.561401,246.14647,12.479,0.022,11.849,0.025,11.673,0.018,11.6,0.023,11.581,0.022,11.176,0.153,8.417,,21.945499420166016,0.3764,22.29780006408692,0.2989999949932098,,,,,0000,AABU,SSG,SSG,0,,,-16.293463,4.502314,70.0,25.0,,,,,1,,,
7,ZTF J162639.53+412116.7,1381075634865165568,J162639.53+412116.8,GALEX J162639.5+412117,246.66472576479592,41.35463639825454,1081.8820174405491,,18.02,0.02,-0.0546,14.127555,240.10356,14.728388,74.881966,13.354684,99.37115,12.385,0.022,11.802,0.022,11.648,0.02,11.567,0.023,11.597,0.021,11.522,0.171,9.207,,22.26639938354492,0.5008,21.649200439453125,0.2089000046253204,,,,,0000,AABU,cut,SSG,0,,,-12.585265,3.8613179,27.0,22.0,,,,,1,,,
8,ZTF J155936.55+394851.3,1382759605642657920,J155936.55+394851.3,GALEX J155936.6+394851,239.9022934,39.81423413036688,1776.2705581828222,,9.4,0.04,-0.519,14.707812,479.0097,15.155108,138.98805,14.090811,174.24284,13.279,0.022,12.808,0.021,12.704,0.022,12.639,0.023,12.638,0.023,12.587,0.262,9.161,,19.207599639892575,0.1179,19.13319969177246,0.0763999968767166,,,,,0000,AABU,RS,SSG,0,,,-21.129608,8.601279,18.0,15.0,,,,,2,,,
9,ZTF J154854.35+441305.1,1396587991586615296,J154854.35+441305.1,GALEX J154854.3+441304,237.2264868,44.218073143688464,946.6296072749744,,4.73,0.04,-0.1926,13.132852,265.66293,13.679363,76.69096,12.414112,97.283195,11.335,0.022,10.749,0.021,10.638,0.02,10.646,0.023,10.642,0.021,10.613,0.053,9.639,,19.96689987182617,0.1919,18.717199325561523,0.0707999989390373,,,,,0000,AAAU,RS,SSG,0,,,-109.75255,5.145484,21.0,17.0,,,,,0,,,
