,simbad_id,source_id,P_orb,P_orb_err,ecc,ecc_err,K1,K1_err,K2,K2_err,orb_class,M2_min (M1=1.0Msun),M2_min (M1=1.1Msun),M2_min (M1=1.2Msun),M2_min (M1=1.3Msun),M2_min (M1=1.4Msun),M2_min (M1=1.5Msun),updated_class
0,V* V494 And,381661101844556928,18.57992235612444,0.0043299845,0.324479680466962,0.01613272,24.323415164827622,0.3210703,,,SB1,0.34948075,0.36998835,0.38983428,0.4090936,0.42782778,0.44608787,SSG
1,ZTF J004533.87+424149.3,387451130075951360,5.2413501002547775,0.0011970537,0.1714830140543397,0.07456116,19.39565045779375,1.5475726,,,SB1,0.17342222,0.18416905,0.19457965,0.20469168,0.21453609,0.22413859,SSG
2,HD 106622,3596302668154124544,38.90596072751978,0.004508626,0.0151150262240561,0.00658703,22.04446016252396,0.16794887,,,SB1,0.4491984,0.4747898,0.4995452,0.5235598,0.5469116,0.56966525,RS
3,TYC  515-1687-1,4231689577188482176,46.701659109303634,0.020929564,0.1847719402404773,0.020340497,30.472927092842298,0.6727085,,,SB1,0.7298928,0.7683322,0.8054895,0.8415111,0.8765167,0.91060585,RS
4,HD  91353,5441212467222721152,37.38347996124362,0.0032812923,0.3424021083281233,0.0036873452,34.890499459169426,0.103002295,,,SB1,0.7465856,0.7857284,0.82356477,0.86024374,0.8958874,0.93059707,RS
5,CD-56  1450,5496053289715459200,17.899116586402563,0.001391262,0.0091565858552428,0.0092837745,17.38327840417172,0.20640947,,,SB1,0.24746077,0.2624423,0.27694824,0.29103222,0.3047382,0.31810272,RS
6,V* BD Cet,2429719078736046208,35.17114444132118,0.0018434987,0.0083019675425897,0.0031162149,32.73312177872244,0.10161431,,,SB1,0.72419757,0.76239544,0.79931974,0.8351157,0.8699023,0.9037785,RS
7,V* AN Scl,5029927429747497984,8.115895452430648,0.000104088766,0.0052126598010728,0.0032563382,40.27139140895569,0.14647034,,,SB1,0.49747854,0.5254268,0.55245763,0.57867557,0.6041662,0.6290008,RS
8,GSC 08369-01394,6702801691000981376,37.48477440375275,0.019333811,0.0307893222213016,0.029917179,36.43895917248663,1.0756978,,,SB1,0.86840814,0.91250134,0.95511717,0.9964238,1.036559,1.0756373,RS
9,ATO J322.1234+35.1936,1951294356586328064,34.64387821568555,0.0038575507,0.3544359603088333,0.021172892,39.29830955050229,1.2438357,,,SB1,0.8468798,0.89012086,0.9319139,0.9724238,1.0117855,1.0501117,RS
10,V* UY Equ,1743397083091392896,11.561452759932076,0.0031050101,0.0675594172973444,0.027665583,27.78486054485095,0.7034879,,,SB1,0.3616553,0.38279983,0.40326098,0.42311633,0.44242936,0.4612529,RS
11,ASAS J214117+2658.9,1800478504125784704,76.30163165026748,0.023608636,0.0390686765449109,0.008348389,29.37210231208492,0.117303975,,,SB1,0.8953875,0.9405353,0.98416954,1.0264624,1.067555,1.1075646,RS
12,V* FP Psc,2783161798769417600,13.511134300058586,0.004916206,0.0618401926709361,0.027795665,13.286696026381632,0.40856788,,,SB1,0.1641549,0.1743576,0.18424171,0.19384293,0.2031905,0.21230884,SSG
13,1RXS J051508.7+721810,498912918751087104,29.033608999191006,0.0041520493,0.010591689880645,0.013180718,18.521249407559814,0.23346335,,,SB1,0.32200804,0.34106117,0.359502,0.37739986,0.3948116,0.41178447,SSG
14,TYC 2781-1010-1,2880679649700656128,47.1759983163261,0.019819055,0.4322578342202077,0.01432145,21.12609314997553,0.50350815,,,SB1,0.4056617,0.4290703,0.45171803,0.47369143,0.4950613,0.51588655,RS
15,ATO J096.8433-20.1168,2939805956207978624,61.61483346572357,0.033626825,0.5651203211554752,0.018880768,38.90594469509429,1.3066019,,,SB1,0.91962725,0.9657102,1.0102476,1.0534153,1.095357,1.1361927,RS
16,BD-02   953,3205350624335681280,47.11005702395879,0.010708297,0.0137087884953379,0.0065294607,26.46620216436839,0.20019323,,,SB1,0.6188604,0.6524559,0.6849378,0.7164331,0.747046,0.77686286,RS
17,UCAC4 474-010129,3237099190089952768,42.733827561262174,0.021441666,0.1263621936796956,0.031995922,26.040839269620367,0.9433202,,,SB1,0.573894,0.6054423,0.63594806,0.6655304,0.69428664,0.72229767,RS
18,V* EL Eri,5181896326300508672,48.329698502134015,0.0070873043,0.0103847803015983,0.006004967,18.956927995787193,0.07146016,,,SB1,0.40721133,0.43069857,0.45342225,0.47546923,0.49691054,0.5178053,RS
19,ROTSE1 J184706.07+434032.7,2105255190248353792,18.859904322722223,0.003319671,0.0791575999230702,0.032060865,17.495504588492814,0.32133043,,,SB1,0.25346226,0.26877853,0.28360808,0.2980058,0.31201667,0.32567814,SSG
20,V* AK Vol,5275118007347610752,984.632039345775,4.4064713,0.4052202853105632,0.039808456,11.886501828108717,1.4014705,,,SB1,0.7323464,0.7708896,0.8081471,0.8442657,0.8793654,0.9135461,RS
21,V* V449 Car,5498766265938483712,44.72723035157629,0.019029755,0.0172340009922989,0.014740347,9.947626042313471,0.124016605,,,SB1,0.18575476,0.19722076,0.20832707,0.21911408,0.22961487,0.239857,RS
22,TYC 4216-800-1,2155975764713926784,33.5822202590473,0.0296623,0.0584886634089362,0.029118093,23.38940119059316,0.47352165,,,SB1,0.4540831,0.47991595,0.5049045,0.5291449,0.55271584,0.5756827,RS
23,UCAC4 489-047028,3097200805201566720,55.44706211741972,0.04852344,0.0500701190014959,0.022124339,14.282906864911372,0.37054476,,,SB1,0.3050854,0.32323045,0.3407939,0.35784158,0.37442738,0.39059615,RS
24,ROTSE1 J165150.69+095633.2,4447329031739753472,20.90468416564264,0.0062745544,0.1821033786974505,0.02360979,21.703557083194255,0.68442464,,,SB1,0.33468783,0.35441527,0.37350753,0.39203662,0.41006154,0.42763126,SSG
25,ASAS J081513+1644.6,655828900372514688,36.482222835296355,0.013687393,0.0413644026299404,0.022676397,30.20201526126183,0.5434858,,,SB1,0.6585896,0.693952,0.7281394,0.7612858,0.79350096,0.82487625,SSG
26,ASAS J194031+4345.3,2078114703489389184,52.25485930509783,0.05554945,0.4670840953722758,0.030073382,32.13223238648996,1.0980403,,,SB1,0.71463776,0.75242877,0.7889602,0.8243759,0.85879344,0.8923107,RS
27,V* IS Vir,3677941161701409792,23.659277573483315,0.0071183653,0.0083064398744504,0.0172731,6.493623811545357,0.12470763,,,SB1,0.09288676,0.098794684,0.10452122,0.11008654,0.1155072,0.12079699,RS
28,1RXS J075407.7-654137,5275486240664958592,15.242821601037644,0.0014793861,0.0290963511355285,0.011885286,22.42112191607887,0.22725058,,,SB1,0.31290728,0.3314732,0.34944332,0.3668851,0.38385376,0.40039524,RS
29,ASAS J204258+0616.5,1747980156794126848,53.19181758597198,0.01998789,0.4175587701524706,0.011775744,15.752750131202204,0.22462286,,,SB1,0.30134225,0.31928518,0.33665335,0.35351175,0.36991367,0.38590342,RS
30,ASAS J080715-6712.3,5274324915866445568,27.281535468260564,0.007370313,0.1093403542647971,0.024704693,30.97317793957583,0.6985847,,,SB1,0.59394026,0.6264075,0.6578004,0.6882414,0.71783113,0.74665284,RS
31,TYC 4542-848-1,1127566564608116608,74.54762035448692,0.05246064,0.1446015108591747,0.01744211,24.69937300162183,0.36611906,,,SB1,0.6836652,0.7201233,0.7553682,0.7895383,0.8227471,0.8550887,RS
32,ATO J261.7862+27.0039,4571134418985782912,31.060698111295903,0.021888163,0.3486301429181783,0.03656379,10.719768329614755,0.5022719,,,SB1,0.1641412,0.17434308,0.18422641,0.19382687,0.20317371,0.21229133,SSG
33,V* UV For,5038295950184756736,30.10530056482517,0.004198255,0.5000134088425584,0.012207141,12.631270434984057,0.30476376,,,SB1,0.1782871,0.18931831,0.20000401,0.21038297,0.22048694,0.2303424,SSG
34,V* GZ Psc,293812978938542592,25.94729423889719,0.0023836768,0.0075049708888384,0.005072466,24.8232769257456,0.11478841,,,SB1,0.44012424,0.46526524,0.48958582,0.5131793,0.53612226,0.5584781,RS
35,UCAC4 877-002783,1150099784109263104,34.607823353835045,0.023941636,0.1857341269743149,0.029505283,16.27336436012969,0.5807581,,,SB1,0.29000401,0.30733192,0.3241057,0.3403881,0.35623038,0.37167522,RS
36,V* FH Psc,2755776743691972736,34.73555992357602,0.0035875104,0.0113464665598287,0.0053575006,27.794130581952913,0.20280434,,,SB1,0.5769876,0.60867834,0.6393217,0.66903716,0.69792265,0.7260594,SSG
37,V* V486 And,2863827091383419264,7.1452097075799355,0.0009490202,0.1906795091592138,0.06872013,14.98730457367478,1.4623773,,,SB1,0.14571406,0.15482435,0.16365133,0.17222668,0.1805764,0.1887221,SSG
38,TYC 5163-1764-1,4229161701173443072,25.967352784224023,0.0079622185,0.0094704540432887,0.0173011,28.26020394253405,0.29855546,,,SB1,0.5194138,0.5484115,0.5764553,0.6036541,0.6300968,0.6558575,RS
39,TYC 4117-1290-1,1088088973274225280,35.76116707396408,0.0271453,0.0824777091351276,0.03793758,11.615339737367352,0.51475567,,,SB1,0.20254362,0.21497966,0.22702424,0.2387214,0.25010714,0.26121154,SSG
