source name,Gaia DR3 ID,Telescope,BJD,RV,RV_ERR
29 Dra,1655646778064790528,Coude,2459337.93433,-8.901,0.0685
29 Dra,1655646778064790528,Coude,2459402.69610,-10.868,0.115
29 Dra,1655646778064790528,Coude,2459403.71753,-10.528,0.155
29 Dra,1655646778064790528,Coude,2459452.62547,-10.644,0.062
29 Dra,1655646778064790528,Coude,2459453.60281,-10.645,0.079
29 Dra,1655646778064790528,NEID,2461058.06341135,-8.5615,0.0018
AD LMi,755517221614519808,NEID,2461029.82874996,51.9869,0.0114
AD LMi,755517221614519808,NEID,2461095.68994467,79.8816,0.1501
CSS J075410.6+141829,654503129867566080,NEID,2461029.78845993,41.1702,0.0308
CSS J075410.6+141829,654503129867566080,NEID,2461094.82939212,31.0616,0.0259
GSC 04196-02053,1642379516712248064,NEID,2461031.05576394,-47.6723,0.0522
HD 57267,871136882231721600,NEID,2461029.79648747,64.9356,0.1647
NSVS 14892045,3178786251609990656,NEID,2461030.78254605,20.6781,0.0496
NSVS 14892045,3178786251609990656,NEID,2461079.63479585,20.3036,0.0369
NSVS 14892045,3178786251609990656,NEID,2461093.65585592,20.2596,0.0364
TIC 159643817,2129183449487791104,NEID,2461093.04613516,-5.1044,0.019
TIC 236349710,1303115931129472896,NEID,2461094.97866558,-65.017,
TIC 356111416,1422377586571452032,NEID,2461095.04366671,-49.1097,0.0154
ZTF J155936.55+394851.3,1382759605642657920,NEID,2461030.05218209,-18.0866,0.02
ZTF J155936.55+394851.3,1382759605642657920,NEID,2461095.89036994,-19.615,0.04
ZTF J162639.53+412116.7,1381075634865165568,NEID,2461062.02148555, -16.6974,0.0132
ZTF J173249.36+200428.7,4554179743529140992,NEID,2461095.965519785,31.383 ,0.159
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
