source name,Gaia DR3 ID,Telescope,BJD,RV,RV_ERR
29 Dra,1655646778064790528,Coude,2459337.93433,-8.901,0.0685
29 Dra,1655646778064790528,Coude,2459402.69610,-10.868,0.115
29 Dra,1655646778064790528,Coude,2459403.71753,-10.528,0.155
29 Dra,1655646778064790528,Coude,2459452.62547,-10.644,0.062
29 Dra,1655646778064790528,Coude,2459453.60281,-10.645,0.079
29 Dra,1655646778064790528,NEID,2461058.06341135,-8.5615,0.0018
AD LMi,755517221614519808,"OHP (Frasca+, 2006)",2451944.135846,43.57,0.15
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452285.691832,33.70,0.54
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452286.686932,21.00,0.5
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452388.379529,79.09,0.61
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452389.423029,76.93,0.55
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452398.357528,23.96,1.79
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452399.400728,31.98,3.27
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452405.362128,76.19,0.93
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452406.367728,67.59,0.73
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452410.378028,24.34,1.28
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452411.354828,17.91,1.71
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452744.480121,79.14,0.46
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452752.467021,16.37,0.52
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452753.463521,19.76,0.52
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452754.424421,27.57,0.55
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452755.416521,39.71,0.52
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452756.436521,50.36,0.46
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452757.468221,65.15,0.46
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452772.362220,56.74,0.61
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452780.420120,34.14,0.81
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452781.437820,24.70,1.37
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452803.339520,58.55,0.49
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452804.324120,69.41,0.5
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452805.318620,76.88,0.68
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452806.351720,80.26,0.52
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452807.341920,77.41,0.57
AD LMi,755517221614519808,"OAC (Frasca+, 2006)",2452808.369320,71.04,0.69
AD LMi,755517221614519808,NEID,2461029.82874996,51.9869,0.0114
AD LMi,755517221614519808,NEID,2461095.68994467,79.8816,0.1501
CSS J075410.6+141829,654503129867566080,NEID,2461029.78845993,41.1702,0.0308
CSS J075410.6+141829,654503129867566080,NEID,2461094.82939212,31.0616,0.0259
GSC 04196-02053,1642379516712248064,NEID,2461031.05576394,-47.6723,0.0522
HD 57267,871136882231721600,"OHP (Frasca+, 2006)",2451945.889823,16.81,0.15
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452249.592415,22.54,0.59
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452285.629115,24.97,0.79
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452286.621615,31.97,0.73
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452300.571915,70.78,1.02
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452303.463515,51.21,0.93
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452304.513215,43.56,1.85
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452354.412315,3.52,0.43
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452388.333714,-2.98,0.53
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452389.337814,-0.06,0.85
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452393.322714,17.08,0.56
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452398.314614,53.18,1.06
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452399.332514,59.81,1.05
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452405.319613,80.23,0.9
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452406.325613,78.32,0.74
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452712.414615,-5.33,0.53
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452744.340515,7.36,0.63
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452745.368515,2.5,0.79
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452754.330015,11.54,0.59
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452755.313415,17.67,0.63
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452756.337915,23.92,0.57
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452757.361215,31.21,0.64
HD 57267,871136882231721600,"OAC (Frasca+, 2006)",2452772.329115,66.12,0.76
HD 57267,871136882231721600,Coude,2459174.98942,76.216,0.269
HD 57267,871136882231721600,Coude,2459305.68673,-1.498,0.279
HD 57267,871136882231721600,NEID,2461029.79648747,64.9356,0.1647
NSVS 14892045,3178786251609990656,NEID,2461030.78254605,20.6781,0.0496
NSVS 14892045,3178786251609990656,NEID,2461079.63479585,20.3036,0.0369
NSVS 14892045,3178786251609990656,NEID,2461093.65585592,20.2596,0.0364
KIC 10337935,2129183449487791104,NEID,2461093.04613516,-5.1044,0.019
ZTF J161259.34+250041.0,1303115931129472896,NEID,2461094.97866558,-65.017,
ZTF J173010.13+572439.7,1422377586571452032,NEID,2461095.04366671,-49.1097,0.0154
ZTF J155936.55+394851.3,1382759605642657920,NEID,2461030.05218209,-18.0866,0.02
ZTF J155936.55+394851.3,1382759605642657920,NEID,2461095.89036994,-19.615,0.04
ZTF J162639.53+412116.7,1381075634865165568,NEID,2461062.02148555,-16.6974,0.0132
ZTF J173249.36+200428.7,4554179743529140992,NEID,2461095.965519785,31.383,0.159
