,star,2MASS ID,source_id,AllWISE ID,GALEX ID,ra,dec,distance,vsini,VSX Period,Av,fe_h,m_G,Gaia G flux_over_error,m_BP,Gaia BP flux_over_error,m_RP,Gaia RP flux_over_error,2MASS J,2MASS J error,2MASS H,2MASS H error,2MASS K,2MASS K error,WISE W1,WISE W1 error,WISE W2,WISE W2 error,WISE W3,WISE W3 error,WISE W4,WISE W4 error,GALEX FUV,GALEX FUV Error,GALEX NUV,GALEX NUV Error,Li Profile,H-alpha Profile,Ca II H Profile,Ca II K Profile,2MASS_qph,ALLWISE_ccf,ALLWISE_qph,leiner_class,updated_class,P_orb,P_orb_err,ecc,ecc_err,K1,K1_err,K2,K2_err,orb_class,M2_min (M1=1.0Msun),M2_min (M1=1.1Msun),M2_min (M1=1.2Msun),M2_min (M1=1.3Msun),M2_min (M1=1.4Msun),M2_min (M1=1.5Msun)
116,ZTF J004533.87+424149.3,2MASS 00453384+4241496,387451130075951360,WISEA J004533.86+424149.4,GALEX J004533.8+424150,11.391137510847756,42.697026169483706,462.74441180914016,,0.8,0.17,-0.1064,12.508042,552.5181,13.023819,166.9906,11.83098,197.808,10.887,0.023,10.381,0.022,10.283,0.018,10.199,0.022,10.228,0.02,10.172,0.047,8.606,,21.34670066833496,0.455,19.332300186157227,0.1020999997854232,,,,,AAA,0000,AAAU,RS,SSG,5.2413501002547775,0.0011970537,0.1714830140543397,0.07456116,19.39565045779375,1.5475726,,,SB1,0.17342222,0.18416905,0.19457965,0.20469168,0.21453609,0.22413859
122,GSC 03262-01653,2MASS 00451807+4609027,389680699138908800,WISEA J004518.07+460902.7,GALEX J004518.0+460903,11.325329781244484,46.150772879721266,1094.8981297546284,,86.8,0.28,-0.0404,11.90301,575.1907,12.438375,175.0069,11.219858,232.62311,10.357,0.022,9.866,0.022,9.73,0.018,9.688,0.023,9.731,0.021,9.622,0.034,9.13,0.465,,,18.874099731445312,0.0538000017404556,,,,,AAA,0000,AAAC,RS,RS,38.00642406249108,0.010249267,0.2762486869712031,0.018476402,30.259604898848657,0.5034215,,,SB1,0.6381275,0.6725847,0.70589834,0.7381989,0.7695932,0.80017006
392,FR Boo,2MASS 14031573+2435507,1257818251087117312,WISEA J140315.75+243550.5,GALEX J140315.7+243550,210.81559793493273,24.597366076888292,399.3972312440633,8.49888888888889,96.0,0.05,-0.2979,7.5040064,2877.113,8.192893,732.6665,6.699875,957.1098,5.568,0.027,4.958,0.029,6.441,,4.718,0.243,4.653,0.121,4.733,0.014,4.652,0.029,,,16.7367000579834,0.0287999995052814,Yes,Absorption,Variable,Variable,AAU,0000,BBAA,cut,RS,1189.18,0.17,0.871,0.003,10.27,0.15,,,SB1,0.277795523,0.2949256,0.311525434,0.327654123,0.343360215,0.358684063
516,CZ CVn,2MASS 14062615+3050475,1454245453633192576,WISEA J140626.16+305046.0,GALEX J140626.1+305046,211.60912172026536,30.84587525713554,98.10610636031775,,58.32,0.04,-0.0925,7.233197,345.09576,7.7821198,98.75837,6.537473,117.97161,5.619,0.019,5.128,0.017,4.993,0.016,4.885,0.219,4.762,0.091,4.931,0.014,4.844,0.03,18.56579971313477,0.0836,14.599300384521484,0.0043000001460313,,,,,AAA,0000,BAAA,cut,SSG,147.85535773977674,0.1306188,0.8241446401710526,0.023916405,,,,,AstroSpectroSB1,0.5532035,0.5837923,0.613372,0.64205784,0.66994387,0.6971085
571,GSC 04196-02053,2MASS 16250995+6645393,1642379516712248064,WISEA J162509.94+664539.2,GALEX J162509.8+664539,246.2914425368158,66.76088002140739,887.2535699217849,,2.88,0.09,-0.1902,12.810036,318.30716,13.430068,96.86826,12.04858,115.62075,10.898,0.019,10.295,0.019,10.163,0.022,10.061,0.022,10.051,0.02,9.846,0.036,9.145,0.388,16.275800704956055,0.0303,16.800100326538086,0.0206000003963708,,,,,AAA,0000,AAAC,cut,SSG,525.5443207320669,10.39111,0.273308835716946,0.12111583,,,,,Orbital,0.24755727,0.26254418,0.27705535,0.29114437,0.30485526,0.31822458
578,29 Dra,2MASS 17324120+7413383,1655646778064790528,WISEA J173241.11+741338.3,GALEX J173240.9+741340,263.17063429405675,74.22749068131633,85.93699777780678,8.1356,26.74,0.09,-0.0535,6.2837353,409.32532,6.842404,119.44417,5.562939,138.55318,4.923,0.256,4.218,0.248,4.09,0.396,4.112,0.282,3.774,0.184,4.094,0.027,3.878,0.023,13.520400047302246,0.01,13.208100318908691,0.0035999999381601,Yes,Absorption,Normal Emission,Normal Emission,DDD,HHH0,BBAA,cut,SSG,881.5090597960923,6.7330465,0.1059615078121108,0.00987151,,,,,Orbital,0.34271282,0.36286435,0.3823663,0.40129235,0.41970283,0.43764788
728,V0629 Peg,2MASS 21411674+2658580,1800478504125784704,WISEA J214116.74+265858.1,GALEX J214116.7+265858,325.3197823141409,26.982805102782415,617.9070937011008,,36.8,0.26,,9.143545,351.6394,9.708712,101.64124,8.428127,120.942635,7.416,0.024,6.877,0.02,6.733,0.017,6.643,0.07,6.672,0.022,6.604,0.016,6.559,0.063,19.70170021057129,0.1589,15.156000137329102,0.0125000001862645,,,,,AAA,0000,AAAA,RS,RS,76.30163165026748,0.023608636,0.0390686765449109,0.008348389,29.37210231208492,0.117303975,,,SB1,0.8953875,0.9405353,0.98416954,1.0264624,1.067555,1.1075646
757,ZTF J203603.23+203451.3,2MASS 20360324+2034516,1817524228596221056,WISEA J203603.24+203451.5,,309.0134989410715,20.58091852689852,1106.9176011588347,,0.62,0.24,-0.6118,13.569808,582.0161,13.994125,163.1723,12.969427,178.05641,12.271,0.024,11.875,0.028,11.757,0.021,11.73,0.022,11.741,0.02,11.73,0.267,8.36,,,,,,,,,,AAA,0000,AABU,cut,RS,950.250779452051,96.204895,0.0512082332705959,0.051464144,,,,,Orbital,0.63304883,0.6672798,0.70037496,0.73246413,0.7636532,0.79403055
956,TYC 3557-919-1,2MASS 19434046+4640032,2080444435493307520,WISEA J194340.46+464003.6,,295.91860402828513,46.66772170550607,334.59794465717886,,25.08,0.34,-0.16,11.037224,392.91525,11.623533,105.41868,10.30335,149.1502,9.232,0.023,8.684,0.016,8.536,0.014,8.529,0.022,8.568,0.02,8.435,0.023,8.235,0.18,,,,,Yes,Variable H-alpha,Normal Emission,Normal Emission,AAA,00o0,AAAB,RS,SSG,11.0283,1.2859,0.3669,0.0116,26.488,0.116,,,SB1 ,0.28592265,0.30351564,0.32056373,0.3371277,0.35325727,0.3689941
1005,ROTSE1 J184706.07+434032.7,2MASS 18470628+4340344,2105255190248353792,WISEA J184706.28+434034.6,GALEX J184706.2+434035,281.7762003750739,43.67627247120305,659.6085607060802,10.5474,39.64,0.15,0.0936,10.980172,397.98062,11.623599,121.01366,10.204441,145.362,9.041,0.03,8.461,0.034,8.297,0.021,8.245,0.023,8.298,0.02,8.148,0.018,8.173,0.169,21.555299758911133,0.4132,18.61490058898925,0.0659999996423721,Yes,Variable H-alpha,,,AAA,0000,AAAB,RS,SSG,18.859904322722223,0.003319671,0.0791575999230702,0.032060865,17.495504588492814,0.32133043,,,SB1,0.25346226,0.26877853,0.28360808,0.2980058,0.31201667,0.32567814
