Star #Average Absolute_average Average_with_extraneous_data Absolute_average_with_extraneous_data Stdev Absolute_STDEV STDEV_with_extraneous_data Absolute_STDEV_with_extraneous_data
FRBoo 1.3859278573532423 1.3859278573532423 1.3859278573532423 1.3859278573532423 0.05452092097602185 0.05452092097602185 0.05452092097602185 0.05452092097602185
29Dra 0.4720108701416132 0.4720108701416132 0.4965919739174871 0.4965919739174871 0.017134650688355756 0.017134650688355756 0.03787378435537523 0.03787378435537523
2MASSJ08171221+0736164 0.9933415901117416 0.9933415901117416 0.9933415901117416 0.9933415901117416 0.11090366253791728 0.11090366253791728 0.11090366253791728 0.11090366253791728
GSC02769-00149 -1.387157523241616 1.387157523241616 -1.387157523241616 1.387157523241616 0.34591330686787236 0.34591330686787236 0.34591330686787236 0.34591330686787236
V846Her 1.211730642981761 1.211730642981761 1.211730642981761 1.211730642981761 0.009416837992147353 0.009416837992147353 0.009416837992147353 0.009416837992147353
2MASSJ17270871+2700144 1.0579273320876803 1.0579273320876803 1.0579273320876803 1.0579273320876803 0.028985003484014657 0.028985003484014657 0.028985003484014657 0.028985003484014657
2MASSJ08504952+1217158 -1.101830900028266 1.101830900028266 -1.101830900028266 1.101830900028266 0.036841780566890275 0.036841780566890275 0.036841780566890275 0.036841780566890275
ASASJ073642+0354.3 -1.1003846344666592 1.1003846344666592 -1.1003846344666592 1.1003846344666592 0.17875792824440342 0.17875792824440342 0.17875792824440342 0.17875792824440342
BD+201895 0.6194750086519837 0.6194750086519837 0.6194750086519837 0.6194750086519837 0.06776432517574536 0.06776432517574536 0.06776432517574536 0.06776432517574536
BPSCS22950-0027 -0.744920177499689 0.744920177499689 -0.7006059951937945 0.7006059951937945 0.1853257512636135 0.1853257512636135 0.23040119833848813 0.23040119833848813
CGTri -0.9633928398093715 0.9633928398093715 -0.9633928398093715 0.9633928398093715 0.28872494174549135 0.28872494174549135 0.28872494174549135 0.28872494174549135
FASTT378 0.2729608454828436 0.2729608454828436 0.2729608454828436 0.2729608454828436 0.032371213546736666 0.032371213546736666 0.032371213546736666 0.032371213546736666
FMLyn 0.4359508724136241 0.8188175138417767 0.4359508724136241 0.8188175138417767 0.710184633996932 0.1547683964817367 0.710184633996932 0.1547683964817367
FVCnc 0.8523799429407236 0.8523799429407236 0.8523799429407236 0.8523799429407236 0.03720674267857158 0.03720674267857158 0.03720674267857158 0.03720674267857158
GSC00563-00384 0.48682083505148455 0.48682083505148455 0.48682083505148455 0.48682083505148455 0.15097200888374973 0.15097200888374973 0.15097200888374973 0.15097200888374973
HD57267 0.9943565965906276 0.9943565965906276 0.9943565965906276 0.9943565965906276 0.40383960252799844 0.40383960252799844 0.40383960252799844 0.40383960252799844
HRPsc -1.8549331065687122 1.8549331065687122 -1.8549331065687122 1.8549331065687122 0.6926493701276101 0.6926493701276101 0.6926493701276101 0.6926493701276101
KYBoo -1.0076372114835928 1.0076372114835928 -1.0076372114835928 1.0076372114835928 0.244700860454459 0.244700860454459 0.244700860454459 0.244700860454459
KNCnc -0.6134082793568777 0.6134082793568777 -0.6134082793568777 0.6134082793568777 0.28624528117353876 0.28624528117353876 0.28624528117353876 0.28624528117353876
MPBoo 0.7345119840416585 0.7345119840416585 0.7345119840416585 0.7345119840416585 0.039596791358865506 0.039596791358865506 0.039596791358865506 0.039596791358865506
MSBoo 0.5915358742115587 0.5915358742115587 0.5915358742115587 0.5915358742115587 0.09656306940058246 0.09656306940058246 0.09656306940058246 0.09656306940058246
MXBoo 0.14386438769895882 0.14386438769895882 0.14386438769895882 0.14386438769895882 0.03440570244427662 0.03440570244427662 0.03440570244427662 0.03440570244427662
NPCom 0.4432985675259408 0.4432985675259408 0.4432985675259408 0.4432985675259408 0.14221370414703757 0.14221370414703757 0.14221370414703757 0.14221370414703757
ROTSE1J162157.22+381733.6 0.8206635106428061 0.8206635106428061 0.8206635106428061 0.8206635106428061 0.09305213737012645 0.09305213737012645 0.09305213737012645 0.09305213737012645
ROTSE1J135649.21+242927.1 0.6405403261263832 0.6405403261263832 0.6405403261263832 0.6405403261263832 0.05066253177831088 0.05066253177831088 0.05066253177831088 0.05066253177831088
ROTSE1J170537.88+335052.5 0.11741587638008599 0.6275600056883114 0.11741587638008599 0.6275600056883114 0.6604566244553142 0.2369765390782345 0.6604566244553142 0.2369765390782345
ROTSE1J183703.58+280017.1 0.46002084179496866 0.46002084179496866 0.46002084179496866 0.46002084179496866 0.14474632968048956 0.14474632968048956 0.14474632968048956 0.14474632968048956
ROTSE1J184706.07+434032.7 0.4315524191379667 0.4315524191379667 0.3898833216623692 0.3898833216623692 0.19035776032927346 0.19035776032927346 0.18956296123395278 0.18956296123395278
TYC2268-394-1 0.8624568532805247 0.8624568532805247 0.8624568532805247 0.8624568532805247 0.2765605379148721 0.2765605379148721 0.2765605379148721 0.2765605379148721
TYC2645-156-1 0.6465073623753542 0.6465073623753542 0.6465073623753542 0.6465073623753542 0.1274423895683897 0.1274423895683897 0.1274423895683897 0.1274423895683897
TYC3927-1130-1 0.7495728116175951 0.7495728116175951 0.7495728116175951 0.7495728116175951 0.037977076987503376 0.037977076987503376 0.037977076987503376 0.037977076987503376
TYC4216-800-1 0.695279308967511 0.695279308967511 0.695279308967511 0.695279308967511 0.10556256793157527 0.10556256793157527 0.10556256793157527 0.10556256793157527
TYC4422-1970-1 0.5820859644317881 0.5820859644317881 0.5820859644317881 0.5820859644317881 0.0999653532958455 0.0999653532958455 0.0999653532958455 0.0999653532958455
V498And -0.7567074951239848 0.7567074951239848 -0.6908999910631465 0.6908999910631465 0.24548020081050387 0.24548020081050387 0.3053033317987605 0.3053033317987605
V832Her 1.2269667893563572 1.2269667893563572 1.2269667893563572 1.2269667893563572 0.018049750256904737 0.018049750256904737 0.018049750256904737 0.018049750256904737
V834Her 1.1114851173464038 1.1114851173464038 1.1114851173464038 1.1114851173464038 0.023833533020172153 0.023833533020172153 0.023833533020172153 0.023833533020172153
BYTri 0.43199559439668156 0.43199559439668156 0.43199559439668156 0.43199559439668156 0.12393365955060065 0.12393365955060065 0.12393365955060065 0.12393365955060065
NRLib -2.2847229576260832 2.2847229576260832 -2.2847229576260832 2.2847229576260832 0.7479282348148911 0.7479282348148911 0.7479282348148911 0.7479282348148911
GSC02741-01676 0.4728175149080889 0.4728175149080889 0.4728175149080889 0.4728175149080889 0.019735498896316317 0.019735498896316317 0.019735498896316317 0.019735498896316317
V424Gem 0.5458806774527147 0.5458806774527147 0.5458806774527147 0.5458806774527147 0.050159774292916515 0.050159774292916515 0.050159774292916515 0.050159774292916515
V457Vir 0.8138805845904962 0.8138805845904962 0.7617458412949757 0.7617458412949757 0.11973105637480647 0.11973105637480647 0.15980121665047373 0.15980121665047373
HD161570 1.121719626309081 1.121719626309081 1.121719626309081 1.121719626309081 0.05517452395409935 0.05517452395409935 0.05517452395409935 0.05517452395409935
HVPsc -0.37594097830952533 0.37594097830952533 -0.37594097830952533 0.37594097830952533 0.09353987896093896 0.09353987896093896 0.09353987896093896 0.09353987896093896
OOBoo 0.4396452756397295 0.4396452756397295 0.4927383049640006 0.4927383049640006 0.13753002921927804 0.13753002921927804 0.15047422035443594 0.15047422035443594
HUVir -0.8645173988855834 0.8645173988855834 -0.7707212002452742 0.7707212002452742 0.3972359937638494 0.3972359937638494 0.42009216396095994 0.42009216396095994
KLCnc -- -- 0.4803333075044871 0.7441360939641395 -- -- 0.6255871791602441 0.2614208841842306
ROTSE1J160518.19+372623.5 0.3367619221348397 0.3367619221348397 0.18922754783048337 0.5613093471030164 0.03416227207491213 0.03416227207491213 0.5966616887458595 0.27702716929894117
ROTSE1J172404.95+182937.3 -- -- -0.1165981735094821 0.28286360074219896 -- -- 0.28286360074219896 0.1165981735094821
