#Star Average Average_with_Bad_Fits STDEV STDEV_with_Bad_Fits
MPBoo 0.25947483925869086 0.25947483925869086 0.005364465097183317 0.005364465097183317
29Dra 0.021174584750149328 0.02912981779690558 0.0031808072260715464 0.016162826454564006
FMLyn 0.048418383144512765 0.048418383144512765 0.005065264159101173 0.005065264159101173
2MASSJ08171221+0736164 0.021949805128261463 -0.06164662894177053 0.0009368972223659792 0.14479554447557968
2MASSJ17270871+2700144 -- 0.038899966464188473 -- 0.027573874410546397
ASASJ210323+1930.9 0.04866935719311978 0.04866935719311978 0.00872573042199459 0.00872573042199459
BD+142519 0.1219795276561219 0.1219795276561219 0.0053735109004562865 0.0053735109004562865
BD+201895 0.1410795510359928 0.1410795510359928 0.009879844162942159 0.009879844162942159
BMCVn 0.04947642671211001 0.04947642671211001 0.006045615637702036 0.006045615637702036
BPSCS22950-0027 0.06908555204729994 0.06908555204729994 0.007834846375675483 0.007834846375675483
EPCVn 0.11865404305986464 0.11865404305986464 0.008135526034257714 0.008135526034257714
FNCom 0.1376646285608931 0.1376646285608931 0.02578010372961464 0.02578010372961464
FRBoo 0.023634178383669355 0.023634178383669355 0.0019087937945257295 0.0019087937945257295
GSC02769-00149 0.15924427641127303 0.15924427641127303 0.01647637792513439 0.01647637792513439
HD161570 0.021876974878334583 1.3543667779572603 0.004521562709311963 1.879544202226003
HD347929 0.2364529860757458 0.2364529860757458 0.004376015384767124 0.004376015384767124
HD53476 0.06648980223595347 0.06648980223595347 0.0068414966720118575 0.0068414966720118575
KNCnc 0.06012244556330135 0.06012244556330135 0.013779758633333231 0.013779758633333231
KYBoo 0.08003432431433957 0.08003432431433957 0.006887377977578737 0.006887377977578737
MXBoo 0.05366804763204702 0.05366804763204702 0.006970055252747029 0.006970055252747029
MXDra 0.11877524401337958 0.11877524401337958 0.010996152793545754 0.010996152793545754
QZBoo 0.04991758459026348 0.06576248685808901 0.007309667073341217 0.053015552780693864
TYC1543-131-1 0.04701235013143427 0.04701235013143427 0.005273972507172552 0.005273972507172552
TYC2645-156-1 0.1173687247681828 0.11391102591610085 0.042734358830951585 0.039769748897064375
TYC3557-919-1 0.0889872727840555 0.0889872727840555 0.00919907084137941 0.00919907084137941
TYC4216-800-1 0.06287681516959083 0.06287681516959083 0.009776252027472865 0.009776252027472865
TYC4415-328-1 0.08553364632900701 0.08553364632900701 0.01779364547655177 0.01779364547655177
TYC4667-90-1 0.116007909056425 0.116007909056425 0.01917639988647259 0.01917639988647259
V457Vir 0.06456542254356731 0.06456542254356731 0.009128421908712112 0.009128421908712112
V498And 0.04698800860115808 0.04698800860115808 0.009664527019569316 0.009664527019569316
V832Her 0.017104037890110946 0.8079583878663389 0.0026910801514465434 1.581710531366341
V834Her 0.022110704242991108 0.022110704242991108 0.005530806176908091 0.005530806176908091
V846Her 0.020128891758297796 -0.08487430515814764 0.009958726163385778 0.1619269620456287
TYC4223-399-1 0.032029102273458204 0.03078342223059145 0.01233344738283537 0.013783097645744983
GSC00563-00384 0.04545932174612125 0.04545932174612125 0.014557829831460027 0.014557829831460027
ASASJ073642+0354.3 0.030599077810750663 0.02874513979303423 0.013801400626363725 0.01402893628061347
ASASJ155307+2028.6 0.05874238439064353 0.05874238439064353 0.01702689316576368 0.01702689316576368
OOBoo 0.04453656541011256 0.04453656541011256 0.005935493054644846 0.005935493054644846
ROTSE1J135649.21+242927.1 0.060284195775155425 0.060284195775155425 0.003951261072771156 0.003951261072771156
ROTSE1J160518.19+372623.5 0.041002070580666995 0.03763125245484522 0.010805966941312733 0.011030137608600523
ROTSE1J172404.95+182937.3 0.02995569710230554 0.02995569710230554 0.0060505741754624445 0.0060505741754624445
ROTSE1J183703.58+280017.1 0.025222810183997375 0.021837908634654846 0.00798744300380487 0.009067640806764343
ROTSE1J184706.07+434032.7 0.04580164339378623 0.03531842686765394 0.005880815147929914 0.02161616303552483
V503Hya 0.12352606226795582 0.12352606226795582 0.018024322415611162 0.018024322415611162
HD57267 0.04560822976530021 0.04560822976530021 0.0007050363381861935 0.0007050363381861935
HRPsc 0.10002800903923315 0.10002800903923315 0.013719244805653605 0.013719244805653605
HUVir 0.04296729294603132 0.04296729294603132 0.015473401324264925 0.015473401324264925
TYC1339-572-1 0.11319868865871341 0.11319868865871341 0.016187775505754967 0.016187775505754967
RXJ1112.4+3950 0.048831318595989916 0.04642803255941673 0.01529769460419831 0.017099385179916538
FASTT378 0.059732188212253234 0.059732188212253234 0.0006250506933445088 0.0006250506933445088
54Cam 0.0961852687826732 0.0961852687826732 0.010171044941619849 0.010171044941619849
