#file EW Redshift Calculated_RV BJD BVCORR Comments
BPSCS22950-0027_2020-07-12_0.pkl -0.7374857885195532 -0.00036243857159889417 -108.6563473541329 2459042.8532181643 6.757 --
BPSCS22950-0027_2020-08-06_0.pkl -0.9131759256473675 -0.0002575807847049025 -77.22077451960524 2459067.788090351 -5.489 --
BPSCS22950-0027_2020-08-07_0.pkl -0.8611535031513426 -0.00023000566716943987 -68.95396247461095 2459068.823743169 -6.083 --
BPSCS22950-0027_2020-09-03_0.pkl -0.4732866012718615 -0.00010125132509481595 -30.354382815921355 2459095.748419986 -18.224 --
BPSCS22950-0027_2020-10-02_0.pkl -0.5172036424128228 -0.0002535275966874662 -76.00565935354737 2459124.636857824 -27.202 --
BPSCS22950-0027_2020-11-22_0.pkl -0.7542269119665503 -0.00010295857310248025 -30.866202878896658 2459175.543755937 -27.013 --
BPSCS22950-0027_2021-07-09_0.pkl -0.6649487818551991 -0.0003404311011819119 -102.05867387952327 2459404.9150070576 8.156 --
BPSCS22950-0027_2021-08-26_0.pkl -0.7691654499955245 -0.00030464174462240163 -91.32929499262411 2459452.7243347345 -14.635 --
BPSCS22950-0027_2021-08-27_0.pkl -0.746061588419944 -0.00026815531058685263 -80.39093754134349 2459453.708919503 -15.031 --
BPSCS22950-0027_2021-10-04_0.pkl -1.1680319244093118 -0.00010016133997950384 -30.027613507738405 2459491.650094238 -27.618 --
BPSCS22950-0027_2019-10-13_0.pkl -0.21314998982895617 -0.00026093560527401316 -78.22652439732933 2458769.5784142646 -28.887 #fix???
BPSCS22950-0027_2021-07-08_0.pkl -0.5893818348471012 -0.00030935018195460965 -92.74084895611821 2459403.816556142 8.918 --

#Average Absolute_average Average_with_extraneous_data Absolute_average_with_extraneous_data Stdev Absolute_STDEV STDEV_with_extraneous_data Absolute_STDEV_with_extraneous_data
-0.744920177499689 0.744920177499689 -0.7006059951937945 0.7006059951937945 0.1853257512636135 0.1853257512636135 0.23040119833848813 0.23040119833848813
