#file EW Redshift Calculated_RV BJD BVCORR Comments
CGTri_2020-09-03_0.pkl -0.4974904783004126 -0.00025382630172212864 -76.09520886771617 2459095.9211730766 25.061 --
CGTri_2020-09-27_0.pkl -1.4085840529198244 -3.904841271149133e-05 -11.706419315389128 2459119.86449695 18.183 --
CGTri_2020-09-29_0.pkl -0.6075019641221724 -0.0001118297613368905 -33.52571813410168 2459121.8307058886 17.518 --
CGTri_2020-11-21_0.pkl -0.6508550904975703 -1.3992919522980855e-05 -4.194971626447262 2459174.7838973035 -7.114 --
CGTri_2020-11-22_0.pkl -0.9345318876820441 -4.497225517978787e-06 -1.3482342562373797 2459175.7416288285 -7.496 --
CGTri_2020-12-05_0.pkl -1.123921079150625 -6.937654383937338e-05 -20.79856405013815 2459188.695795254 -13.476 --
CGTri_2021-07-08_0.pkl -1.2460931269256061 -0.00025659581963713933 -76.92548942877612 2459403.9596720603 24.31 --
CGTri_2021-08-27_0.pkl -0.9286997240045007 -0.00030421623764866616 -91.20173121447587 2459453.914242647 26.403 --
CGTri_2021-10-03_0.pkl -1.3708367775413182 -0.00014742339402371853 -44.19642048168594 2459490.914679911 15.879 --
CGTri_2021-10-03_1.pkl -1.0658321647488034 -0.00019578008757011633 -58.69339211385972 2459490.9337606695 15.834 --
CGTri_2021-10-04_0.pkl -1.0311620305718296 -0.00022543574508759743 -67.5839343373863 2459491.9581753267 15.379 --
CGTri_2020-08-07_0.pkl -0.695205701247751 -0.00020688669095549834 -62.02306795394169 2459068.90819192 27.924 --

#Average Absolute_average Average_with_extraneous_data Absolute_average_with_extraneous_data Stdev Absolute_STDEV STDEV_with_extraneous_data Absolute_STDEV_with_extraneous_data
-0.9633928398093715 0.9633928398093715 -0.9633928398093715 0.9633928398093715 0.28872494174549135 0.28872494174549135 0.28872494174549135 0.28872494174549135
