#file EW Redshift Calculated_RV BJD BVCORR Comments
GSC02769-00149_2020-07-13_0.pkl -1.5152325348327969 -0.00034278715703147034 -102.76500163499922 2459043.946432999 24.136 --
GSC02769-00149_2020-08-06_0.pkl -1.5631923523338918 -0.0002877828755095464 -86.27513331705192 2459067.953196569 19.819 --
GSC02769-00149_2020-09-03_0.pkl -1.5543454305421678 -0.0003773035612201795 -113.1127590119226 2459095.789541856 11.135 --
GSC02769-00149_2020-09-28_0.pkl -1.123945748239958 -0.00029723170011066775 -89.10781959384236 2459120.7442322248 0.826 --
GSC02769-00149_2020-11-21_0.pkl -0.8139517782018713 -0.00019672271487192425 -58.97598466210561 2459174.659242519 -20.117 --
GSC02769-00149_2020-11-22_0.pkl -1.0932236257031205 -0.00018809727286663966 -56.39014227100843 2459175.631255174 -20.333 --
GSC02769-00149_2020-12-05_0.pkl -0.995217330222764 -0.0002570864629111423 -77.0725805779655 2459188.673853307 -23.504 --
GSC02769-00149_2021-07-08_0.pkl -1.2984381458990057 -0.00030482513592525743 -91.38427432061594 2459403.8925774097 24.689 --
GSC02769-00149_2021-07-09_0.pkl -1.5917136159392893 -0.0003310563392294458 -99.24819102562667 2459404.9565587067 24.489 --
GSC02769-00149_2021-08-26_0.pkl -2.095609118267191 -0.00034912824722183934 -104.66601259884091 2459452.9315603673 13.85 --
GSC02769-00149_2021-10-03_0.pkl -1.6138630754757202 -0.00023933384931639124 -71.75048105449176 2459490.8565301974 -1.502 --

#Average Absolute_average Average_with_extraneous_data Absolute_average_with_extraneous_data Stdev Absolute_STDEV STDEV_with_extraneous_data Absolute_STDEV_with_extraneous_data
-1.387157523241616 1.387157523241616 -1.387157523241616 1.387157523241616 0.34591330686787236 0.34591330686787236 0.34591330686787236 0.34591330686787236
