#file EW Redshift Calculated_RV BJD BVCORR Comments
HRPsc_2020-08-06_0.pkl -0.956432705736856 -0.00029612857889947235 -88.77711218329112 2459067.9660359053 27.754 --
HRPsc_2020-08-07_0.pkl -1.4309594927866396 -0.00021213630392841247 -63.5968622886434 2459068.8906739587 27.81 --
HRPsc_2020-09-03_0.pkl -2.0067807599146095 -0.00019760050909582242 -59.23914074308389 2459095.9075323427 21.819 --
HRPsc_2020-11-21_0.pkl -3.0293511162359987 -0.00010313089529724107 -30.91786377185338 2459174.762339307 -14.002 --
HRPsc_2020-11-22_0.pkl -3.272931640813865 -5.967292694020899e-05 -17.889492966076258 2459175.7281482243 -14.368 --
HRPsc_2020-12-04_0.pkl -1.6991521775084397 -6.467400859279116e-05 -19.388779487353915 2459187.693261836 -19.367 --
HRPsc_2021-07-08_0.pkl -2.4817804580065754 -0.00012515463235701976 -37.52041386316023 2459403.949599094 27.626 --
HRPsc_2021-08-27_0.pkl -1.7958114129805134 -0.00019972981764835264 -59.87749137085288 2459453.902320075 23.962 --
HRPsc_2021-10-03_0.pkl -1.3708367775413182 -0.00014742339402371853 -44.19642048168594 2459490.9154397086 9.921 --
HRPsc_2021-10-03_1.pkl -1.2582677180160964 -0.00019712406947698026 -59.09630774247413 2459490.934520085 9.876 --
HRPsc_2021-10-04_0.pkl -1.3016384811493005 -0.0002692114794371046 -80.70756898857421 2459491.7954840045 9.769 --
HRPsc_2020-09-27_0.pkl -1.6552545381343355 -0.00017211664283307655 -51.59927004070296 2459119.8502658457 12.694 --

#Average Absolute_average Average_with_extraneous_data Absolute_average_with_extraneous_data Stdev Absolute_STDEV STDEV_with_extraneous_data Absolute_STDEV_with_extraneous_data
-1.8549331065687122 1.8549331065687122 -1.8549331065687122 1.8549331065687122 0.6926493701276101 0.6926493701276101 0.6926493701276101 0.6926493701276101
