#file EW Redshift Calculated_RV BJD BVCORR Comments
HUVir_2020-05-10_0.pkl -1.490237240761978 2.6202200195995246e-05 7.855221792147895 2458979.7004218716 -19.74 --
HUVir_2021-01-31_0.pkl -0.4974176077048389 -0.0005461772698935657 -163.7398218757033 2459245.9533729968 24.736 --
HUVir_2021-03-30_0.pkl -0.5929424292903045 -9.469077053415836e-05 -28.387578090823144 2459303.79537234 -0.986 --
HUVir_2021-04-23_0.pkl -0.7169986713820347 -0.0002924992824961599 -87.6890765227659 2459327.680295672 -12.5 --
HUVir_2021-04-24_0.pkl -0.42587357229863443 -0.0003832273186176466 -114.8886567553149 2459328.731004195 -13.101 --
HUVir_2021-04-25_0.pkl -0.4044981438781097 -0.0003630854823895867 -108.85028632500605 2459329.7373210415 -13.568 --
HUVir_2021-05-29_1.pkl -1.2777170146289984 -4.260745484378589e-05 -12.77339327588294 2459363.6681375154 -25.483 --
HUVir_2021-05-30_0.pkl -1.4805293027319104 3.5368627875537476e-05 10.603247603945675 2459364.65690089 -25.697 --
HUVir_2021-12-14_0.pkl -0.8522443428502342 -0.00015211597208675067 -45.6032199560186 2459563.0146970465 29.28 --
HUVir_2021-04-01_0.pkl -0.906715663328792 -0.00012094401955524805 -36.258103935315724 2459305.752263983 -1.882 --
HUVir_2021-04-01_0.pkl -0.37888019174347765 -0.00038384360185334687 -115.0734138164394 2459305.752263983 -1.882 #p-cygni-left
HUVir_2021-04-01_0.pkl -0.22460022234398025 7.308965701860825e-05 21.911727347268265 2459305.752263983 -1.882 #p-cygni_right

#Average Absolute_average Average_with_extraneous_data Absolute_average_with_extraneous_data Stdev Absolute_STDEV STDEV_with_extraneous_data Absolute_STDEV_with_extraneous_data
-0.8645173988855834 0.8645173988855834 -0.7707212002452742 0.7707212002452742 0.3972359937638494 0.3972359937638494 0.42009216396095994 0.42009216396095994
