#file EW Redshift Calculated_RV BJD BVCORR Comments
KYBoo_2020-07-12_0.pkl -1.412143607048555 -0.0002695635904283968 -80.81312920532562 2459042.741180837 -17.252 --
KYBoo_2020-07-14_0.pkl -0.9742032366418281 -0.0003059147343307329 -91.71092769610954 2459044.671529504 -17.089 --
KYBoo_2021-01-31_0.pkl -0.7534460498521582 -0.00040415832690322774 -121.16361501021956 2459246.0025634877 15.429 --
KYBoo_2021-03-30_0.pkl -0.8761559958995289 -0.0003573803447426765 -107.13992913225161 2459303.8475400517 1.143 --
KYBoo_2021-03-31_0.pkl -0.681340212336913 -0.00036995360768253224 -110.90929843348516 2459304.8226174116 0.892 --
KYBoo_2021-04-24_0.pkl -0.9710726400755352 -0.00031530097701406353 -94.52485238643979 2459328.7960608476 -6.157 --
KYBoo_2021-04-25_0.pkl -0.8037751611626085 -0.0003246356944685052 -97.32333020216463 2459329.8361092946 -6.517 --
KYBoo_2021-05-30_0.pkl -1.4010993993620495 -0.00028945599203363003 -86.77672101894244 2459364.710044033 -14.232 --
KYBoo_2021-07-08_0.pkl -0.9784490197287576 -0.00030920456831106687 -92.69719508516711 2459403.7466507074 -17.373 --
KYBoo_2021-07-09_0.pkl -1.2246867927279936 -0.0002724621314545481 -81.68208992098104 2459404.6607765937 -17.238 --

#Average Absolute_average Average_with_extraneous_data Absolute_average_with_extraneous_data Stdev Absolute_STDEV STDEV_with_extraneous_data Absolute_STDEV_with_extraneous_data
-1.0076372114835928 1.0076372114835928 -1.0076372114835928 1.0076372114835928 0.244700860454459 0.244700860454459 0.244700860454459 0.244700860454459
