#file EW Redshift Calculated_RV BJD BVCORR Comments
V498And_2020-08-06_0.pkl -0.5962862380897311 -0.00018999669356812646 -56.95957425668788 2459067.93753886 22.926 --
V498And_2020-09-03_0.pkl -0.09863245451560143 -0.00027214947328286365 -81.58835736167924 2459095.821276525 17.59 #check_this_again
V498And_2020-09-04_0.pkl -0.34387820510820966 -0.0001909216468749145 -57.23686827466547 2459096.894214588 17.157 --
V498And_2020-09-29_0.pkl -1.1844406879035727 -0.00026436489556250263 -79.2545997346768 2459121.757841243 8.913 --
V498And_2020-11-21_0.pkl -0.9656399924084793 -0.0002535954344322531 -76.02599659725952 2459174.769365179 -12.83 --
V498And_2020-12-05_0.pkl -1.046689493441117 -7.625831031894898e-05 -22.861665683377996 2459188.5649004746 -17.207 --
V498And_2021-07-08_0.pkl -0.7242499659118922 -0.0001868967611160211 -56.030237912036704 2459403.9225947405 23.385 --
V498And_2021-08-27_0.pkl -0.6435699062775022 -0.0002713189051644013 -81.33935931055353 2459453.875187904 19.374 --
V498And_2021-10-03_0.pkl -0.6483747298443081 -0.00023094769384822403 -69.23637496060901 2459490.894370947 7.171 --
V498And_2021-10-04_0.pkl -0.6572382371310512 -0.00027056170465153244 -81.1123563136593 2459491.7759628003 7.019 --

#Average Absolute_average Average_with_extraneous_data Absolute_average_with_extraneous_data Stdev Absolute_STDEV STDEV_with_extraneous_data Absolute_STDEV_with_extraneous_data
-0.7567074951239848 0.7567074951239848 -0.6908999910631465 0.6908999910631465 0.24548020081050387 0.24548020081050387 0.3053033317987605 0.3053033317987605
