#File EW Redshift Calculated_RV BJD BVCORR Comments
FRBoo_2020-05-11_0.pkl 1.3291540953021475 -0.00017911988287493602 -53.69878853079012 2458980.731319593 -12.626 --
FRBoo_2020-07-13_0.pkl 1.4839739019507507 -0.00013732483931943253 -41.16895002542901 2459043.715891451 -24.426 --
FRBoo_2020-07-14_0.pkl 1.4556612017266044 -0.00013798474904631481 -41.36678597922988 2459044.659845414 -24.321 --
FRBoo_2021-01-31_0.pkl 1.327269417653782 -0.0002814254809576662 -84.3692344287271 2459245.9897105666 23.038 --
FRBoo_2021-03-30_1.pkl 1.3855458843645714 -0.00022144009045128434 -66.38606724461214 2459303.786001935 4.426 --
FRBoo_2021-04-01_0.pkl 1.3788974838918242 -0.00021830314584167832 -65.44563493458406 2459305.8582141357 3.391 --
FRBoo_2021-04-23_0.pkl 1.3353422418217922 -0.00018487768268354385 -55.42493344202219 2459327.820292865 -5.825 --
FRBoo_2021-05-04_0.pkl 1.3915786321144674 -0.0001761489776406784 -52.808133571894196 2459338.7903656997 -10.101 --
29Dra_2021-05-03_0.pkl 0.46882447635549784 -0.00015272708002864852 -45.78642550313461 2459337.934332389 -3.821 --
29Dra_2021-07-07_0.pkl 0.5038022154793937 -0.00013065679229855607 -39.16991987232526 2459402.696099308 -0.04 #Fix
29Dra_2021-07-08_0.pkl 0.5631250436832023 -0.0001386889378027872 -41.5778964517952 2459403.7175322706 0.015 #Fix
29Dra_2021-08-26_0.pkl 0.4944074213867413 -0.0001818804778371647 -54.52639405797431 2459452.6254662015 3.005 --
29Dra_2021-08-27_0.pkl 0.45280071268260036 -0.00018095102082992025 -54.247749864602824 2459453.6028061365 3.064 --
2MASSJ08171221+0736164_2020-11-22_0.pkl 0.9727937155358934 -0.0001223215418679431 -36.67107472436824 2459175.9924514727 26.422 --
2MASSJ08171221+0736164_2021-02-01_0.pkl 0.8568873863370214 -0.0001263686606353812 -37.884370375099486 2459246.812369657 -3.739 --
2MASSJ08171221+0736164_2021-04-25_0.pkl 0.9774188550648515 2.5244591244444402e-05 7.5681378584205365 2459329.6651792834 -29.243 --
2MASSJ08171221+0736164_2021-03-31_0.pkl 1.1662664035092 -3.2744487919709244e-05 -9.816550257445037 2459304.7065646704 -26.583 --
GSC02769-00149_2020-07-13_0.pkl -1.5152325348327969 -0.00034278715703147034 -102.76500163499922 2459043.946432999 24.136 --
GSC02769-00149_2020-08-06_0.pkl -1.5631923523338918 -0.0002877828755095464 -86.27513331705192 2459067.953196569 19.819 --
GSC02769-00149_2020-09-03_0.pkl -1.5543454305421678 -0.0003773035612201795 -113.1127590119226 2459095.789541856 11.135 --
GSC02769-00149_2020-09-28_0.pkl -1.123945748239958 -0.00029723170011066775 -89.10781959384236 2459120.7442322248 0.826 --
GSC02769-00149_2020-11-21_0.pkl -0.8139517782018713 -0.00019672271487192425 -58.97598466210561 2459174.659242519 -20.117 --
GSC02769-00149_2020-11-22_0.pkl -1.0932236257031205 -0.00018809727286663966 -56.39014227100843 2459175.631255174 -20.333 --
GSC02769-00149_2020-12-05_0.pkl -0.995217330222764 -0.0002570864629111423 -77.0725805779655 2459188.673853307 -23.504 --
GSC02769-00149_2021-07-08_0.pkl -1.2984381458990057 -0.00030482513592525743 -91.38427432061594 2459403.8925774097 24.689 --
GSC02769-00149_2021-07-09_0.pkl -1.5917136159392893 -0.0003310563392294458 -99.24819102562667 2459404.9565587067 24.489 --
GSC02769-00149_2021-08-26_0.pkl -2.095609118267191 -0.00034912824722183934 -104.66601259884091 2459452.9315603673 13.85 --
GSC02769-00149_2021-10-03_0.pkl -1.6138630754757202 -0.00023933384931639124 -71.75048105449176 2459490.8565301974 -1.502 --
V846Her_2020-05-10_0.pkl 1.2002759643980814 -0.00035434820240902876 -106.23091575329865 2458979.8621196607 3.623 --
V846Her_2020-08-06_0.pkl 1.2177428470834815 -0.0002007285152928438 -60.17689338450411 2459067.6955259987 -20.178 --
V846Her_2020-09-03_0.pkl 1.2237400670000897 -0.00016400768732751302 -49.16826640274908 2459095.645165042 -20.547 --
V846Her_2021-03-31_0.pkl 1.2051636934453906 -0.00029768965182153204 -89.24511005922406 2459304.8878235393 16.139 --
2MASSJ17270871+2700144_2020-07-13_0.pkl 1.0625463842829332 -0.00026013761819647434 -77.98729389628562 2459043.8297355403 -10.402 --
2MASSJ17270871+2700144_2020-08-07_0.pkl 1.0908909389394483 -0.00026352996258625417 -79.00429313214148 2459068.793041798 -16.081 --
2MASSJ17270871+2700144_2020-09-03_0.pkl 1.0203446730406593 -0.00023051800743290618 -69.10755821742916 2459095.6862084502 -19.05 --
2MASSJ08504952+1217158_2020-12-04_0.pkl -1.0766699562882316 -7.924424813966878e-05 -23.756827298199248 2459187.9511588546 25.747 --
2MASSJ08504952+1217158_2021-02-01_0.pkl -1.1254897822536005 -6.986862968340508e-05 -20.946087670930734 2459246.8388586193 -0.202 --
2MASSJ08504952+1217158_2021-03-31_0.pkl -1.0565638729772013 3.812794283794085e-05 11.43046939684624 2459304.7311301287 -25.322 --
2MASSJ08504952+1217158_2021-04-25_0.pkl -1.1485999885940306 9.936672868225387e-05 29.78939504013816 2459329.6843122193 -29.473 --
ASASJ073642+0354.3_2020-11-21_0.pkl -1.0744664619681856 -0.00017583689646923754 -52.714573992909074 2459174.924241064 23.7 --
ASASJ073642+0354.3_2020-11-22_0.pkl -1.0639575009595665 -0.00019458444924414108 -58.3349487708017 2459175.9209552733 23.417 --
ASASJ073642+0354.3_2020-12-04_0.pkl -0.9289523690538584 -0.00023081435205113887 -69.19640009657346 2459187.861585279 19.565 --
ASASJ073642+0354.3_2021-01-31_0.pkl -0.8092948108742988 -0.00011102667479940548 -33.28495885346703 2459245.749906158 -7.723 --
ASASJ073642+0354.3_2021-03-30_0.pkl -1.421081192808976 -1.7814608849107472e-05 -5.34068523266561 2459303.637324893 -27.351 --
ASASJ073642+0354.3_2021-04-24_0.pkl -1.073073510617074 -1.2530861760346198e-05 -3.7566577477455 2459328.6184829986 -28.249 --
ASASJ073642+0354.3_2021-04-25_0.pkl -1.2836905889944585 -9.653045012991782e-06 -2.893910014405088 2459329.626567434 -28.192 --
ASASJ073642+0354.3_2021-10-04_0.pkl -1.1485606404568571 -0.0001999471510414339 -59.942646281231525 2459491.9843606437 27.851 --
BD+201895_2020-11-21_0.pkl 0.5359273436698606 -0.00016418645078190416 -49.22185833671146 2459174.9937146115 24.442 --
BD+201895_2021-02-01_0.pkl 0.7019040549146198 -3.36280993262026e-05 -10.081450285845627 2459246.764135745 -9.006 --
BD+201895_2021-04-01_0.pkl 0.6205936273714707 1.953687668165346e-05 5.857008125740761 2459305.717921348 -29.182 --
BPSCS22950-0027_2020-07-12_0.pkl -0.7374857885195532 -0.00036243857159889417 -108.6563473541329 2459042.8532181643 6.757 --
BPSCS22950-0027_2020-08-06_0.pkl -0.9131759256473675 -0.0002575807847049025 -77.22077451960524 2459067.788090351 -5.489 --
BPSCS22950-0027_2020-08-07_0.pkl -0.8611535031513426 -0.00023000566716943987 -68.95396247461095 2459068.823743169 -6.083 --
BPSCS22950-0027_2020-09-03_0.pkl -0.4732866012718615 -0.00010125132509481595 -30.354382815921355 2459095.748419986 -18.224 --
BPSCS22950-0027_2020-10-02_0.pkl -0.5172036424128228 -0.0002535275966874662 -76.00565935354737 2459124.636857824 -27.202 --
BPSCS22950-0027_2020-11-22_0.pkl -0.7542269119665503 -0.00010295857310248025 -30.866202878896658 2459175.543755937 -27.013 --
BPSCS22950-0027_2021-07-09_0.pkl -0.6649487818551991 -0.0003404311011819119 -102.05867387952327 2459404.9150070576 8.156 --
BPSCS22950-0027_2021-08-26_0.pkl -0.7691654499955245 -0.00030464174462240163 -91.32929499262411 2459452.7243347345 -14.635 --
