star,Gaia DR3 ID,2MASS ID,GALEX ID,ra,dec,distance,vsini,VSX Period,Av,fe_h,m_G,Gaia G flux_over_error,m_BP,Gaia BP flux_over_error,m_RP,Gaia RP flux_over_error,2MASS J,2MASS J error,2MASS H,2MASS H error,2MASS K,2MASS K error,WISE W1,WISE W1 error,WISE W2,WISE W2 error,WISE W3,WISE W3 error,WISE W4,WISE W4 error,GALEX FUV,GALEX FUV Error,GALEX NUV,GALEX NUV Error,H-alpha Profile
29 Dra,1655646778064790528,17324120+7413383,GALEX J173240.9+741340,263.1706343,74.22749068,85.93699778,8.136,26.74,0.09,-0.05350000039,6.283735275,409.3253174,6.842403889,119.4441681,5.562939167,138.5531769,4.923,0.256,4.218,0.248,4.09,0.396,4.136,0.075,3.487,0.066,4.07,0.014,3.865,0.02,13.52038,0.01002727,13.20808,0.003617005,Absorption
2MASS J07582911-0019221,3083959008712998272,07582911-0019221,GALEX J075829.1-001921,119.6213056,-0.3227954653,1307.879913,,26.68,0.08,-0.2698000073,11.66932392,491.4398193,12.1686573,152.7967529,11.00214577,194.1084595,10.222,0.023,9.687,0.023,9.549,0.023,9.407,0.022,9.452,0.021,9.399,0.034,8.658,,21.88978,0.514439,17.7797,0.0427652,
2MASS J08171221+0736164,3097200805201566720,J08171221+0736164,GALEX J081712.1+073616,124.3009111,7.604554584,1865.177023,15.1675,54.45,0.06,,10.95605469,490.3078918,11.59750938,137.3476868,10.18445683,182.192688,9.127,0.021,8.475,0.029,8.352,0.031,8.289,0.023,8.371,0.022,8.263,0.021,8.403,0.315,22.1481,0.4000078,18.74634,0.04820118,Absorption
2MASS J08504952+1217158,605014833054650880,J08504952+1217158,GALEX J085049.5+121716,132.7063428,12.2876727,203.5634284,,,,-0.6967999935,11.47247124,629.4824829,11.94682312,187.7946167,10.82405281,234.0963898,9.97,0.021,9.501,0.022,9.37,0.017,9.292,0.024,9.298,0.02,9.298,0.035,8.645,,20.97227,0.2058256,17.50631,0.02602372,Emission
2MASS J17270871+2700144,4571134418985782912,J17270871+2700144,,261.7862517,27.0039775,780.185205,4.116666667,59.89,0.12,-0.3095000088,11.91888142,808.4094238,12.43051529,236.0601807,11.24641609,306.7991333,10.491,0.026,9.901,0.031,9.852,0.022,9.712,0.023,9.77,0.021,9.726,0.035,8.891,,,,,,Absorption
54 Cam,1081565094046074624,08023579+5716252,,120.6487959,57.27336257,99.58902797,,10.1,0.1,,6.332929611,1906.203491,6.654578209,624.2418213,5.831606388,640.4154663,5.274,0.017,4.931,0.042,4.864,0.02,4.872,0.072,4.55,0.038,4.849,0.015,4.792,0.027,,,,,SB2
ASAS J073642+0354.3,3137895792132452736,07364190+0354199,,114.1745184,3.905507293,351.9214817,8.3725,19.28,0.13,-0.1015999988,11.39196777,146.2333374,12.04201317,36.76746368,10.59191513,46.63391495,9.152,0.02,8.568,0.057,8.386,0.026,8.379,0.023,8.376,0.018,8.297,0.02,8.48,0.323,,,,,Emission
ASAS J155307+2028.6,1204453316795383552,15530745+2028389,,238.2809587,20.4774525,418.2052898,16.34,9.23,0.14,-0.0997999981,11.58661652,583.6334839,12.13033867,157.9747772,10.86959648,210.0242615,9.882,0.022,9.323,0.021,9.206,0.018,9.121,0.023,9.143,0.02,9,0.026,8.822,0.365,,,,,Variable H-alpha
ASAS J162510+0514.9,4437071962647534976,16251000+0514540,GALEX J162510.0+051454,246.2915916,5.248281851,278.5535297,40.19444444,3.45,0.16,-0.2486000061,11.48478031,283.4200745,12.06277561,86.69256592,10.69315052,110.8509979,9.763,0.026,9.175,0.024,8.99,0.024,8.907,0.021,8.892,0.019,8.763,0.025,8.742,0.398,19.80527,0.1455009,18.20113,0.02653465,Variable H-alpha
ASAS J210323+1930.9,1789396148472412288,21032325+1930557,GALEX J210323.2+193056,315.8469363,19.51544316,382.409942,14.49727273,10.38,0.3,-0.07660000026,11.11237621,516.6845093,11.73039246,140.8870087,10.34974575,195.3383484,9.367,0.026,8.751,0.057,8.596,0.018,8.513,0.024,8.532,0.021,8.411,0.02,8.061,0.17,20.92147,0.3103317,18.35448,0.05460119,Variable H-alpha
