star,Gaia DR3 ID,AllWISE ID,GALEX ID,ra,dec,distance,vsini,VSX Period,Av,fe_h,m_G,Gaia G flux_over_error,m_BP,Gaia BP flux_over_error,m_RP,Gaia RP flux_over_error,2MASS J,2MASS J error,2MASS H,2MASS H error,2MASS K,2MASS K error,WISE W1,WISE W1 error,WISE W2,WISE W2 error,WISE W3,WISE W3 error,WISE W4,WISE W4 error,GALEX FUV,GALEX FUV Error,GALEX NUV,GALEX NUV Error,Li Profile,H-alpha Profile,Ca II H Profile,Ca II K Profile,ALLWISE_ccf,ALLWISE_qph,leiner_class,updated_class
HR Cet,18910470421959808,J024236.23+071726.0,GALEX J024236.2+071726,40.65095558618673,7.290585245493459,506.3862911141522,,52.84,0.28,,8.409346,746.51624,9.2354555,193.07515,7.510871,230.17204,6.244,0.021,5.565,0.047,5.245,0.021,5.004,0.234,4.642,0.135,2.719,0.011,1.669,0.017,19.606800079345703,0.1267,16.569900512695312,0.01769999973475933,,,,,0000,BBAA,cut,-999
DG Ari,34148700855166720,J025521.06+153922.8,GALEX J025521.0+153923,43.83780066505116,15.656337721802666,796.0927283924646,,34.02,0.31,,10.65428,399.68048,11.333716,115.44541,9.84941,278.77017,8.904,0.046,8.22,0.047,8.061,0.018,7.946,0.026,8.015,0.021,7.907,0.022,7.797,0.211,21.556900024414062,0.3671,18.81760025024414,0.06889999657869339,,,,,0000,AAAB,RS,-999
CSS J032403.3+152821,54254958891842816,J032403.38+152821.1,GALEX J032403.3+152821,51.01410355127157,15.47253974991323,1472.8915722474003,,1.07,0.48,-0.4777,14.858748,266.46628,15.42184,76.83865,14.137844,103.00868,13.238,0.022,12.669,0.026,12.534,0.026,12.465,0.024,12.468,0.025,12.21,0.387,8.776,,,--,21.83769989013672,0.40560001134872437,,,,,0000,AACU,RS,SSG
ZTF J035347.19+235007.6,65719566637012992,J035347.19+235007.5,,58.44664614163716,23.83542417189985,1220.3011867091086,,3.88,0.42,-1.4311,14.168001,708.316,14.704685,228.09103,13.454412,237.6548,12.346,0.021,11.793,0.021,11.658,0.02,11.62,0.024,11.574,0.022,11.368,0.21,8.918,,,,,,,,,,0000,AABU,RS,SSG
[WM2007] 85,71640436752289408,J034736.79+280625.2,GALEX J034736.7+280625,56.90332442047046,28.10701870991814,1842.175344779815,,2.68,0.37,-0.3814,15.004778,241.51671,15.640956,67.421196,14.22789,87.206116,13.108,0.024,12.483,0.025,12.381,0.025,12.319,0.024,12.285,0.024,12.426,0.528,9.034,,,--,21.42569923400879,0.49900001287460327,,,,,0000,AACU,RS,SSG
ZTF J024245.02+161819.8,81709523719057536,J024245.01+161819.9,GALEX J024245.0+161820,40.68759334849107,16.305496512913244,1351.144096922206,,6.33,0.26,-0.5055,14.471627,249.56714,15.016265,77.809166,13.771362,83.05427,12.942,0.021,12.341,0.023,12.22,0.017,12.193,0.023,12.144,0.023,11.828,0.323,8.834,,,--,21.0802001953125,0.2273000031709671,,,,,0000,AABU,RS,SSG
ZTF J024731.34+171605.8,83339790224838784,J024731.34+171605.8,,41.88059999692063,17.268300455125537,873.4968667903837,,17.06,0.27,-0.1972,13.467905,504.08838,13.982082,124.87865,12.686893,146.92624,11.698,0.021,11.163,0.022,11.023,0.018,10.993,0.023,11.027,0.02,11.165,0.174,8.704,,,,,,,,,,0h00,AABU,RS,SSG
ZTF J025103.05+181249.5,83540210579216128,J025103.04+181249.3,,42.762736423881336,18.213725388984724,1676.2340494171262,,7.59,0.4,-0.3595,14.571105,339.07236,15.16605,99.456696,13.823861,123.65431,12.899,0.022,12.285,0.031,12.152,0.027,12.101,0.023,12.076,0.023,12.272,0.431,8.908,,,,,,,,,,0000,AACU,RS,SSG
CSS J024155.4+212754,88480659920272384,J024155.44+212754.5,,40.48102885387232,21.465145206309856,1655.076198672108,,3.65,0.44,-0.4395,14.69115,403.51285,15.296303,91.68432,13.938282,110.800964,13.031,0.03,12.386,0.035,12.247,0.02,12.226,0.023,12.206,0.023,11.809,,8.881,,,,,,,,,,0000,AAUU,RS,SSG
ZTF J014501.53+220645.6,98294935069481344,J014501.53+220645.5,GALEX J014501.7+220646,26.256412648906117,22.11264950238823,1451.2639973257697,,1.16,0.26,-0.4334,14.552032,590.29266,15.048642,173.06062,13.835389,217.2508,13.004,0.027,12.518,0.034,12.379,0.022,12.284,0.024,12.313,0.023,12.097,0.315,9.242,,,--,20.6387996673584,0.241799995303154,,,,,0000,AABU,cut,SSG
ZTF J015049.98+234731.1,99014050033715456,J015049.99+234731.0,GALEX J015049.9+234731,27.70830858500904,23.791956013712788,1572.681856875207,,24.59,0.33,,14.402518,546.7881,14.95536,174.37068,13.679481,212.74777,12.573,0.023,12.072,0.021,11.957,0.02,11.983,0.022,11.991,0.022,11.831,0.239,9.094,,,--,21.047800064086914,0.23420000076293945,,,,,0000,AABU,RS,-999
BK Ari,104747552200480256,J015935.58+234852.6,GALEX J015935.5+234852,29.898274929205545,23.81461810869168,506.8872439,,5.56,0.26,-1.4707,12.091827,430.35242,12.711226,58.364365,11.373419,75.32989,10.268,0.021,9.702,0.024,9.56,0.018,9.532,0.022,9.544,0.02,9.465,0.036,8.424,,21.99720001220703,0.3692,19.10300064086914,0.05050000175833702,,,,,0000,AAAU,RS,SSG
ZTF J020642.67+253155.3,105419839137199360,J020642.68+253155.3,,31.677830099851665,25.532028797336345,1279.5788379252572,,10.93,0.21,,14.118724,1284.3351,14.688123,194.01038,13.405693,387.22617,12.559,0.021,11.948,0.028,11.85,0.023,11.766,0.024,11.767,0.022,11.515,,8.438,,,,,,,,,,0000,AAUU,RS,-999
ZTF J020011.95+255028.4,105632766435603072,J020011.95+255028.3,GALEX J020011.9+255028,30.049806998655388,25.84120407483813,886.0268450548604,,13.87,0.26,-0.3445,13.254127,217.70937,13.793588,72.764404,12.551006,82.22828,11.552,0.022,10.982,0.02,10.869,0.018,10.741,0.023,10.745,0.021,10.67,0.085,9.234,,,--,19.643199920654297,0.08349999785423279,,,,,0000,AAAU,RS,SSG
ZTF J021028.44+282114.3,107501352087467904,J021028.45+282114.3,GALEX J021028.4+282115,32.61854831893716,28.35397308243828,1724.060196129482,,16.29,0.19,-0.1225,14.869945,465.49313,15.470162,126.82088,14.111479,133.43423,13.153,0.023,12.57,0.024,12.425,0.023,12.376,0.023,12.405,0.026,12.379,0.523,8.7,,,--,22.402599334716797,0.4377000033855438,,,,,0000,AACU,RS,SSG
ZTF J025246.52+272242.4,116312254157211904,J025246.52+272242.5,,43.193852386753335,27.378459802760315,1584.1163126894903,,14.92,0.37,-0.0426,15.043416,708.6968,15.606098,206.41798,14.330304,195.64557,13.444,0.024,12.909,0.024,12.841,0.023,12.72,0.024,12.737,0.026,11.991,0.346,8.949,,,,,,,,,,0000,AABU,RS,SSG
CSS J025922.3+283913,116862731528003456,J025922.35+283913.5,GALEX J025922.1+283913,44.84319961,28.653749312134902,1551.5113213522625,,1.03,0.43,-0.1047,14.097484,598.6693,14.699867,157.5615,13.36816,218.52182,12.431,0.019,11.883,0.016,11.773,0.02,11.669,0.024,11.688,0.023,11.477,0.213,8.67,,,--,21.548200607299805,0.3368000090122223,,,,,0000,AABU,RS,SSG
CE Tri,132377527788307200,J022529.14+304150.5,GALEX J022529.1+304151,36.37144135445574,30.69734951464733,553.590801,,5.1,0.24,-0.8476,11.243911,178.02983,11.757038,56.469208,10.549461,54.71218,9.575,0.023,8.94,0.024,8.812,0.02,8.757,0.023,8.738,0.021,8.619,0.026,8.852,0.491,21.121599197387695,0.2094,16.566099166870117,0.014600000344216824,,,,,0000,AAAC,cut,SSG
ZTF J023510.45+344050.0,134948873172378112,J023510.45+344050.0,GALEX J023510.5+344051,38.79358263187713,34.680562210514246,1440.1250009617931,,6.14,0.19,-0.1345,14.1819,301.94794,14.821293,79.337654,13.4134035,114.10262,12.396,0.021,11.76,0.024,11.62,0.02,11.541,0.023,11.534,0.022,11.314,0.166,8.891,,,--,21.792299270629883,0.4260999858379364,,,,,hh00,AABU,SSG,SSG
ZTF J025506.83+340101.8,136779147712330624,J025506.83+340101.8,,43.7784590006254,34.01716743617684,1697.8401279627426,,11.44,0.27,-0.2821,14.996784,296.62283,15.528442,81.58762,14.30668,115.87285,13.446,0.021,12.958,0.026,12.812,0.024,12.746,0.024,12.762,0.026,11.804,,8.994,0.54,,,,,,,,,0000,AAUC,RS,SSG
ZTF J031013.78+343336.7,137804438010183424,J031013.79+343336.6,GALEX J031013.7+343336,47.55746229432442,34.560201349180254,1663.6557703145988,,20.22,0.34,-0.2146,13.692106,483.5576,14.167344,145.4834,13.036135,162.89653,12.217,0.021,11.729,0.022,11.561,0.018,11.451,0.023,11.473,0.02,11.408,0.171,8.265,,,--,18.934600830078125,0.0812000036239624,,,,,0000,AABU,RS,SSG
