Filter,wav_ref,wav_mean,wav_eff,wav_min,wav_max,Weff,ZP (Vega)
2MASS J,12350,12350,12350,10806.47,14067.97,1624.32,3.13E-10
2MASS H,16620,16620,16620,14787.38,18231.02,2509.4,1.13E-10
2MASS K,21590,21590,21590,19543.69,23552.4,2618.87,4.28E-11
WISE W1,33526,33526,33526,27540.97,38723.88,6626.42,8.18E-12
WISE W2,46028,46028,46028,39633.26,53413.6,10422.66,2.42E-12
WISE W3,115608,115608,115608,74430.44,172613.43,55055.23,6.52E-14
WISE W4,220883,220883,220883,195200.83,279107.24,41016.8,5.09E-15
Gaia BP,5109.71,5319.87,5035.75,3301.83,6713.57,2157.5,4.08E-09
Gaia G,6217.59,6719.55,5822.39,3309.13,10514.7,4052.97,2.50E-09
Gaia RP,7769.02,7939.1,7619.96,6200.46,10636.56,2924.44,1.27E-09
GALEX FUV,1535.08,1545.82,1548.85,1340.04,1809.71,265.57,4.61E-08
GALEX NUV,2300.78,2344.9,2303.37,1693.27,3007.56,768.31,4.54E-09
TESS,7697.6,7972.36,7452.64,5802.57,11171.45,3898.65,1.33E-09
