Name,Gaia DR2,TIC,Type,RAJ2000,DecJ2000,distance (pc),Prot,g,bp-rp,Observed?,n_obs_coude_060721,n_obs_nres,n_obs_igrins,RUWE
V0378 Aqr,2677454162463680896,439848079,RS,335.12467,-1.66617,655,9.1,12.1,1.44,y,0,0,1,1.03
V* Z Ind,6559052816392332288,139993838,SSG,328.601518,-49.944794,196,2.46,10.37,1.48,y,0,0,4,1
CY Ind,6463546350186454144,219317273,SSG,320.183721,-54.633134,200,2.4,10.33,1.35,Y,0,0,2,0.99
UCAC2 28842571,2474594645095556224,408036613,RS,14.13257,-8.15153,690,29.95,11.82,1.46,y,12,0,9,1.12
CRTS J090535.5+091512,591211564078882176,323597365,RS,136.39801,9.25342,551,3.55,12.59,1.31,Y,0,0,3,1.04
NSVS 9147330,2775997518440867456,258777668,RS,10.77255,12.61727,529,7.06,12.31,1.4,Y,0,0,3,1.09
ZZ LMi,811353892407658752,416858140,SSG,142.80283,38.04186,347,5.5,11.88,1.37,N,0,0,0,1.16
ZTF J190755.53+324957.1,2043321005932423552,42629384,SSG,286.98141,32.83253,1188,4.06,14.39,1.43,N,0,0,0,1.02
FN Com,3947234928261838720,135085696,SSG,184.77688,18.35589,242,5.66,10.75,1.42,N,10,0,0,1.16
CSS J133019.7+290541,1450047243360903168,368127220,SSG,202.58213,29.09475,1568,3.84,13.73,1.4,N,0,0,0,1.02
ZTF J154537.96+411843.4,1378076373303013632,316414176,SSG,236.40818,41.31207,986,2.7,14.05,1.32,N,0,0,0,1.04
ZTF J181423.80+203827.9,4527977934763467648,329596638,SSG,273.59918,20.64109,1740,5.15,15.46,1.52,N,0,0,0,1
ZTF J200051.17+590314.2,2236415004612368640,233277945,SSG,300.21324,59.05397,1634,2.44,15.64,1.52,N,0,0,0,1.01
CRTS J133019.7+290541,1450047243360903168,368127220,SSG,202.58213,29.09475,1568,3.84,13.74,1.41,,0,0,0,
CRTS J140015.8+074813,3721009070816820864,404557771,SSG,210.06592,7.80375,730,1.33,13.17,1.36,,0,0,0,
CRTS J231641.8+363325,1916345726655731968,409439523,SSG,349.17454,36.55694,1348,5.91,14.66,1.56,,0,0,0,
