star,Gaia DR3 ID,Radius,Temperature,Temperature MS (compareable),Temperature MS (NUV Fit),MS Compainion (NUV Fit),Temperature MS,MS Compainion (FUV Fit),in_original_uv_excess_list,M_min (1.5),MS Companion (M_min_,SED Fit,Need MS
29 Dra,1655646778064790528,8,4000,6750,6250,TRUE?,8000,FALSE,TRUE,0.407408,FALSE,yes,No
AD LMi,755517221614519808,4,4250,6000,6000,TRUE?,8000,FALSE,TRUE,,,yes,No
CSS J075410.6+141829,654503129867566080,4.5,4750,6750,6750,FALSE,8500,FALSE,FALSE,,,yes,No
CSS J081117.6+360733,906058127442277248,3,4250,6000,6000*,FALSE,7750,FALSE,FALSE,,,yes,No
CSS J181914.4+460139,2121296377700265344,2.5,4250,5500,5750,FALSE,7500,FALSE,FALSE,,,yes,No
CSS J232332.4+045538,2660751378246429312,3,4750,6250,5750,FALSE,7500,FALSE,FALSE,,,yes,No
GSC 04196-02053,1642379516712248064,5,4000,5750,6500,TRUE?,8500,FALSE,TRUE,0.300844,FALSE,yes,No
HD 57267,871136882231721600,26,4500,12000,9250,TRUE,9250,TRUE,TRUE,1.162503,TRUE,yes,yes (yes MS)
KIC 10337935,2129183449487791104,4.25,4500,6500,6000,TRUE?,8000,FALSE,TRUE,,,yes,No
NSVS 14892045,3178786251609990656,4,4250,6000,7500,FALSE,9000,FALSE,TRUE,,,yes,No
NV Eri,4884511622495522688,5.5,4500,6750,8250,FALSE,9000,FALSE,TRUE,0.25968,FALSE,yes,No
V0706 Pup,5567562330531287808,17,4500,9250,7000,TRUE,8250,TRUE,TRUE,,,yes,yes (yes MS)
ZTF J005851.24+214610.2,2791414904845325696,2.75,4250,6000,6000*,FALSE,7500,FALSE,TRUE,,,yes,No
ZTF J012055.17+450752.0,397690027169628672,4,4250,6000,6000,,8000,FALSE,TRUE,,,yes,No
ZTF J141527.19+164234.7,1232279031219489792,2.85,4250,5750,6000*,,7750,FALSE,TRUE,,,yes,No
ZTF J152141.81+771331.7,1708005315621055872,2.3,4750,,6000,FALSE,8000,FALSE,TRUE,,,yes,No
ZTF J154854.35+441305.1,1396587991586615296,4,4250,6000,6000,,8000,FALSE,FALSE,,,yes,No
ZTF J155936.55+394851.3,1382759605642657920,2.5,5000,6000,6250,FALSE,8250,FALSE,TRUE,,,yes,No
ZTF J161259.34+250041.0,1303115931129472896,2.8,4750,,6000*,FALSE,7750,FALSE,TRUE,,,yes,No
ZTF J162639.53+412116.7,1381075634865165568,2.5,4750,,6000*,FALSE,7250,FALSE,TRUE,,,yes,No
ZTF J173010.13+572439.7,1422377586571452032,3.7,4500,,6000*,FALSE,8000,FALSE,TRUE,,,yes,No
ZTF J173249.36+200428.7,4554179743529140992,4,4500,6250,6250,,8250,FALSE,TRUE,,,yes,No
ZTF J202601.69+045715.1,4246336931792668928,3,4500,6000,6000*,,8000,FALSE,TRUE,,,yes,No
ZTF J220242.31+371932.1,1954946040857509504,3,5000,6500,6500,,8000,FALSE,TRUE,,,yes,No
