M_G giant_temp giant_logg ms_temp fuv nuv fuv-nuv
5 4500 4.0 5500 23.396097046124854 11.738573048751412 11.657523997373442
4 4500 4.0 5750 21.454724889698024 10.312501112805148 11.142223776892877
3 4500 4.0 6250 17.669194074216026 7.990170230257041 9.679023843958985
2 4500 4.0 7000 13.524165796965143 5.992953161391942 7.531212635573201
1 4500 4.0 8250 8.302544474090233 4.399715571482011 3.9028289026082224
0 4500 4.0 9500 3.5699772842775914 2.9191917781714345 0.6507855061061569
-0.5 4500 4.0 11000 1.879486929044532 1.6982381103692852 0.18124881867524678
-1 4500 4.0 12000 0.9987846072189335 0.9010152703469565 0.09776933687197698
-1.5 4500 4.0 14000 0.07430864927202308 0.05851356655266926 0.015795082719353815
4 4000 4.0 5500 23.39675436704524 11.740819932459232 11.655934434586008
3 4000 4.0 6250 19.686194152557338 9.227953569087921 10.458240583469417
2 4000 4.0 6750 14.717159957473093 6.536107708992777 8.181052248480317
1 4000 4.0 7500 11.676756719049038 5.2365745740120815 6.440182145036957
0 4000 4.0 9250 4.0505398265060215 3.163267137772948 0.8872726887330735
-0.5 4000 4.0 10250 2.4812405195488303 2.170918493449147 0.3103220260996835
-1 4000 4.0 11750 1.4321423250002638 1.3179679718475157 0.11417435315274815
-1.5 4000 4.0 13000 0.5289759373691361 0.4818521278363619 0.047123809532774175
4 5000 4.0 6000 19.682169096845232 9.206078183937663 10.47609091290757
3 5000 3.0 6500 16.072655674493255 7.160707020093614 8.911948654399641
2 5000 3.0 7500 11.676740778125701 5.2330501955487705 6.443690582576931
1 5000 3.0 8750 5.698617745368201 3.868340333591373 1.8302774117768283
0 5000 3.0 10000 2.716365975880297 2.3309060960115566 0.38545987986874053
-0.5 5000 3.0 12000 0.9987846072189335 0.9003966641021819 0.09838794311675159
-1 5000 3.0 14000 0.07430864927202308 0.05806231755605751 0.016246331715965567
