simbad_id,source_id,Leiner+2022_class,Metallicity_class,P_orb,P_orb_err,ecc,ecc_err,K1,K1_err,K2,K2_err,orb_class,M2_min (M1=1.0Msun),M2_min (M1=1.1Msun),M2_min (M1=1.2Msun),M2_min (M1=1.3Msun),M2_min (M1=1.4Msun),M2_min (M1=1.5Msun)
29 Dra,1655646778064790528,Cut,SSG,881.50906,6.733047,0.105962,0.009872,,,,,orbital,0.375642002,0.398186833,0.420029312,0.441247731,0.461906403,0.482058913
2MASS J08171221+0736164,3097200805201566720,RS CVn,RS CVn,55.44706212,0.048523441,0.050070119,0.022124339,14.28290686,0.370544761,,,SB1,0.2832806,0.3007234,0.31762603,0.33404872,0.35004085,0.36564365
2MASS J17270871+2700144,4571134418985782912,RS CVn,SSG,31.06069811,0.021888163,0.348630143,0.036563791,10.71976833,0.502271891,,,SB1,0.15679938,0.1667647,0.1764254,0.18581527,0.19496207,0.20388892
54 Cam,1081565094046074624,RS CVn,RS CVn,11.070121,9.50E-05,0.080484,0.001178,61.885156,0.159098,59.535235,0.116256,SB2,1.039471096,1.143418206,1.247365316,1.351312425,1.455259535,1.559206645
ASAS J210323+1930.9,1789396148472412288,RS CVn,SSG,10.4411,0.0648,0,0.0066,28.866,0.346,,,SB1,0.33517742,0.35552526,0.37524056,0.39439395,0.4130433,0.43123683
BD+ 20 307,97294345128598656,,,3.4202,0.0007,0,0,43.2,0.18,46.39,0.18,SB2,0.93123518,1.024358698,1.117482216,1.210605734,1.303729252,1.39685277
BG Psc,96624703892236544,,,25.366,0.01,0.508,0.007,30.32,0.22,30.03,0.28,SB2,1.00965701,1.110622711,1.211588412,1.312554113,1.413519814,1.514485514
BM CVn,1476446929861764992,Cut,RS CVn,20.6252,0.0018,0,0,11.71,0.21,,,SB1,0.159601063,0.169737861,0.179564685,0.189115927,0.198419839,0.207499966
BPS CS 22950-0027,6876368298759473024,SSG,SSG,11.7364,0.1499,0.0084,0.0106,26.006,0.157,,,SB1,0.3110646,0.33007476,0.348495,0.3663911,0.383817,0.40081772
CG Tri,326753999413912192,RS CVn,SSG,3.1147,0.0492,0.0621,0.0152,39.033,0.572,,,Asymmetric,0.29796243,0.3162369,0.33394486,0.3511494,0.36790237,0.384247
CH Tri,131038391345067520,,,3.757647078,0.000128218,0.01056926,0.01600273,20.50895888,0.307206899,,,SB1,0.15838276,0.16844502,0.17819963,0.18768074,0.19691636,0.20592988
EZ Peg,2844189676273462400,RS CVn,SSG,11.66,0,0,0,24.5,0,24.3,0,SB2,1.008230453,1.109053498,1.209876543,1.310699588,1.411522634,1.512345679
FN Com,3947234928261838720,SSG,SSG,5.6661,0.0353,0.0665,0.0062,43.736,0.265,,,Asymmetric,0.42840168,0.4537208,0.47824946,0.50207573,0.52527195,0.5478984
FR Boo,1257818251087117312,Cut,RS CVn,1189.18,0.17,0.871,0.003,10.27,0.15,,,SB1,0.277795523,0.2949256,0.311525434,0.327654123,0.343360215,0.358684063
FV Cnc,660225916090501376,,,2.982094,8.00E-05,0.046977,0.015433,40.850395,0.706845,45.560473,0.838181,SB2,0.896619203,0.986281124,1.075943044,1.165604964,1.255266885,1.344928805
GSC 00563-00384,2703947135653093632,RS CVn,SSG,30.9778,1.7557,0.0144,0.0799,14.434,0.132,,,SB1,0.23143186,0.24587601,0.25987497,0.2734783,0.28672665,0.29965392
HD 113714,3737715187928620032,RS CVn,RS CVn,3.6806,0,0,0,76.9,0.4,,,SB1,0.732816279,0.7721861,0.810335279,0.847396851,0.883480847,0.918679237
