T_eff,fe_h,2MASS J,2MASS H,2MASS K,WISE W1,WISE W2,WISE W3,WISE W4,Gaia BP,Gaia G,Gaia RP,GALEX FUV,GALEX NUV,bp_rp,J-H
3750,0.0,2.1558633424713216,1.3308990758980452,1.291233310196309,1.3186056338889647,1.2949089394242999,1.2028207402348412,1.2294374161378248,6.225682026365723,4.762267494069929,3.7545466724769634,31.910686690018792,20.068125055466183,2.4711353538887595,0.8249642665732764
4000,0.0,1.9917666606464044,1.1565183249932183,1.088144623429252,1.0909125080587492,1.1951428045774535,1.0795733595591641,1.131681325920035,5.519203032980981,4.176521877912509,3.4315083137352973,30.753417751951872,19.104375274304935,2.0876947192456834,0.8352483356531861
4250,0.0,1.8124179043995499,1.0376082795790929,0.9636552945778483,0.9391229503292851,1.096943437707021,0.9327245608045752,0.9573170920903645,4.825595179320322,3.7017479763282015,3.122857598153442,29.83779754361651,18.212510127516612,1.70273758116688,0.774809624820457
4500,0.0,1.6243431103089703,0.9490065903394186,0.8824471876750729,0.8526269510489076,1.0014635226403414,0.8216348203634959,0.8108097571078577,4.223646810178582,3.303002989781726,2.8203609457153638,28.46532941026939,16.213320370739424,1.4032858644632178,0.6753365199695517
4750,0.0,1.453230061713282,0.8698466961194685,0.8122002567726038,0.7814677870769264,0.9141242281506413,0.7408334384635613,0.712354131604283,3.7108919097130117,2.9583225586239017,2.54828815623787,26.273907764817046,13.884433717140947,1.1626037534751417,0.5833833655938135
5000,0.0,1.3014673952056497,0.7962315178950264,0.7483169199648578,0.7180679849570615,0.8320282900981208,0.6773999540370257,0.645264347928392,3.2961512474381296,2.6585896670578957,2.308059752493513,24.36316344790717,12.097483511168065,0.9880914949446167,0.5052358773106232
5250,0.0,1.1664237133677093,0.7270563650330581,0.6891864700419027,0.6596571167687852,0.7537627539764682,0.6219603116965218,0.5913106030371992,2.955647066969798,2.3949350123788173,2.0953215696608933,22.698671273401644,10.362082556812787,0.8603254973089047,0.4393673483346512
5500,0.0,1.0460483048093974,0.6622257461176142,0.6347108890534775,0.6053744146724498,0.6782318220630776,0.5728861718783502,0.5467481067234498,2.660962085203144,2.16035487261112,1.9061383480067717,20.845197763494024,8.803943768077874,0.7548237371963724,0.38382255869178317
5750,0.0,0.9371801111400614,0.6020891265322131,0.5844754209311122,0.5540935708734345,0.6044825341086415,0.5279851207006594,0.5074520914497825,2.3968418745233597,1.94799852754345,1.7358487983745363,18.87245070166335,7.559557972611788,0.6609930761488234,0.33509098460784825
6000,0.0,0.8377687521000763,0.5454683573996831,0.5378210472972218,0.5053915580750163,0.5363491611938538,0.48419647734229737,0.46779231270846255,2.1570120893418423,1.752267910709091,1.5801823700007271,17.09471914048384,6.60867180965713,0.5768297193411152,0.29230039470039315
