[2459067.92280, 8.612, 0.103, 7.815, 0.079],
[2459095.85700, 7.870, 0.082, 8.406, 0.091],
[2459095.87560, 8.052, nan, -0.004, nan],
[2459095.89420, 8.366, 0.098, 7.740, 0.063],
[2459108.78160, 7.835, nan, 0.063, nan],
[2459108.80080, 8.011, 0.064, 7.204, 0.085],
[2459119.79840, 8.619, 0.064, 7.450, 0.100],
[2459119.81700, 8.491, 0.190, nan, nan],
[2459119.83570, nan, nan, 0.308, 0.252],
[2459121.77520, 8.485, 0.096, 7.275, 0.073],
[2459121.79370, 8.655, 0.128, 7.043, 0.099],
[2459121.81250, nan, nan, 0.401, 0.169],
[2459122.83050, nan, nan, nan, nan],
[2459122.85120, 8.349, 0.102, 7.371, 0.168],
[2459122.87340, 8.199, 0.083, 7.382, 0.102],
[2459123.80090, nan, nan, 0.410, 0.259],
[2459123.81950, 8.024, 0.068, 6.508, 0.075],
[2459123.83810, nan, nan, 0.457, 0.255],
[2459124.80300, 11.270, 0.076, nan, nan],
[2459124.82270, 10.848, 0.084, nan, nan],
[2459124.84130, 10.484, 0.060, nan, nan],
[2459174.68340, 8.888, 0.198, nan, nan],
[2459174.70430, 10.561, 0.135, nan, nan],
[2459174.72440, 9.050, 0.160, nan, nan],
[2459175.65270, 8.048, nan, -0.026, nan],
[2459175.67110, nan, nan, 7.535, 0.321],
[2459175.68960, nan, nan, 7.505, 0.293],
[2459187.63420, nan, nan, -7.293, 0.330],
[2459187.65290, 8.521, 0.075, 7.437, 0.129],
[2459187.67140, nan, nan, 0.512, 0.225],
[2459188.63610, nan, nan, nan, nan],
[2459188.65460, nan, nan, 0.621, 0.306],
[2459452.91270, 8.086, 0.195, nan, nan],
[2459453.89040, 8.363, 0.068, 7.881, 0.106],
[2459490.83740, 8.621, 0.063, 7.670, 0.072]
