[2459068.90819, 86.879, 1.126, 18.519, 55.679, 1.445, 31.081],
[2459095.92117, -36.391, 0.957, 0.748, 2.712, 1.156, 0.975],
[2459119.86450, 37.998, 0.431, 0.385, 79.544, 0.655, 0.698],
[2459121.83071, 78.398, 3.206, 9.472, 40.398, 6.883, 4.649],
[2459174.78390, 79.249, 0.892, 0.636, 38.442, 1.230, 0.884],
[2459175.74163, 46.009, 0.605, 0.660, 87.202, 0.681, 0.657],
[2459188.69580, 39.619, 1.089, 1.084, -0.423, 1.043, 1.033],
[2459403.95967, -11.809, 0.530, 0.527, 13.675, 0.316, 0.370],
[2459453.91424, -9.267, 0.298, 0.350, nan, nan, nan],
[2459490.91468, 12.013, 0.199, 0.188, nan, nan, nan],
[2459490.93376, 9.907, 0.508, 0.486, 9.959, 0.505, 0.475],
[2459491.95818, 32.661, 1.101, 1.300, -10.774, 1.381, 1.548]
