[2458824.00826, 8.238, 0.636, 0.624, 33.824, 0.696, 0.688],
[2458979.70923, -18.165, 0.678, 0.542, 4.026, 0.812, 0.615],
[2459042.66419, -31.132, 0.224, 0.211, nan, nan, nan],
[2459187.99506, 49.312, 0.201, 0.186, nan, nan, nan],
[2459245.90859, 3.869, 0.330, 0.313, -18.079, 0.369, 0.338],
[2459246.93593, -24.105, 0.407, 0.364, -44.301, 0.599, 0.618],
[2459303.69981, -25.280, 0.380, 0.423, -47.126, 0.712, 0.776],
[2459304.79842, -3.943, 0.291, 0.294, -28.027, 0.449, 0.447],
[2459327.73456, 8.117, 1.393, 1.066, -17.023, 2.145, 1.734],
[2459328.74207, 24.996, 0.313, 0.323, 44.537, 0.616, 0.668],
[2459336.80118, -22.350, 0.566, 0.566, 0.536, 0.697, 0.737],
[2459363.67936, 58.741, 0.354, 0.287, 33.628, 0.387, 0.395],
[2459364.66578, 6.910, 0.482, 0.528, 30.115, 0.556, 0.587]
