[2458824.00826, 26.579, 0.230, 11.432, 0.186],
[2458979.70923, 24.130, 0.203, 13.350, 0.227],
[2459042.66419, 29.861, 0.088, nan, nan],
[2459187.99506, 31.203, 0.135, nan, nan],
[2459245.90859, 30.116, 0.001, nan, nan],
[2459246.93593, 25.752, 0.188, 10.829, 0.203],
[2459303.69981, 22.158, 0.168, 13.991, 0.199],
[2459304.79842, 30.917, 0.418, 19.233, 0.129],
[2459327.73456, 35.018, 3.336, 86.456, 0.179],
[2459328.74207, 21.412, 0.152, 16.647, 0.286],
[2459336.80118, nan, nan, nan, nan],
[2459363.67936, 21.827, 0.247, 12.612, 0.278],
[2459364.66578, 31.430, 0.162, nan, nan]
