[2459043.94643, 2.937, 0.367, 0.799, -12.452, 1.083, 1.940],
[2459067.95320, 0.161, 0.163, 0.181, -25.071, 0.255, 0.232],
[2459095.78954, -40.149, 0.214, 0.178, nan, nan, nan],
[2459120.74423, -17.550, 0.213, 0.218, nan, nan, nan],
[2459174.65924, -36.453, 0.265, 0.328, -15.662, 0.332, 0.419],
[2459175.63126, -13.946, 0.223, 0.208, nan, nan, nan],
[2459188.67385, -53.357, 0.253, 0.269, -32.385, 0.548, 0.658],
[2459403.89258, 4.011, 0.397, 0.415, -15.214, 0.802, 1.017],
[2459404.95656, -17.974, 0.226, 0.262, nan, nan, nan],
[2459452.93156, -25.896, 0.429, 0.377, -46.019, 0.622, 0.579],
[2459490.85653, -16.281, 0.189, 0.192, nan, nan, nan]
