[2459067.96604, 5.308, 0.199, 0.196, -12.471, 0.426, 0.373],
[2459068.89067, 16.515, 0.406, 0.323, 33.300, 0.362, 0.306],
[2459095.90753, 2.604, 0.139, 0.105, 21.414, 0.207, 0.155],
[2459119.85027, 19.285, 0.180, 0.161, nan, nan, nan],
[2459174.76234, 11.167, 0.134, 0.139, 28.842, 0.152, 0.161],
[2459175.72815, 33.218, 0.307, 0.295, 15.549, 0.490, 0.448],
[2459187.69326, 20.888, 0.236, 0.218, nan, nan, nan],
[2459403.94960, 22.034, 0.377, 0.441, nan, nan, nan],
[2459453.90232, 8.711, 0.224, 0.248, 27.334, 0.300, 0.210],
[2459490.91544, -4.190, 0.332, 0.263, 13.955, 0.556, 0.554],
[2459490.93452, -13.417, 2.111, 1.897, 26.393, 2.689, 2.875],
[2459491.79548, -11.346, 0.200, 0.197, -28.774, 0.181, 0.163]
