[2458979.70042, 14.178, 0.267, 0.254, 36.921, 0.420, 0.443],
[2459245.95337, -45.378, 0.207, 0.187, nan, nan, nan],
[2459303.79537, 52.160, 0.157, 0.140, 31.464, 0.166, 0.186],
[2459305.75226, 17.305, 0.354, 0.319, -5.006, 0.455, 0.406],
[2459327.68030, -26.088, 0.201, 0.201, nan, nan, nan],
[2459328.73100, -51.374, 0.433, 0.455, -30.455, 0.421, 0.426],
[2459329.73732, -42.534, 0.177, 0.189, nan, nan, nan],
[2459338.76756, -37.563, 0.761, 0.658, nan, nan, nan],
[2459363.63199, 18.705, 0.342, 0.331, nan, nan, nan],
[2459363.66814, 19.701, 0.189, 0.177, nan, nan, nan],
[2459364.65690, 27.706, 0.305, 0.335, 49.810, 0.432, 0.463],
[2459563.01470, 39.178, 1.224, 1.459, 58.008, 1.578, 1.868]
