[2458979.70042, 16.699, 0.359, 13.654, 0.534],
[2459245.95337, 28.335, 0.120, nan, nan],
[2459303.79537, 17.581, 0.373, nan, nan],
[2459305.75226, 17.121, 0.297, 10.782, 0.365],
[2459327.68030, 27.096, 0.139, nan, nan],
[2459328.73100, nan, nan, nan, nan],
[2459329.73732, 27.761, 0.112, nan, nan],
[2459338.76756, 27.736, 0.428, nan, nan],
[2459363.63199, 27.853, 0.250, nan, nan],
[2459363.66814, 28.358, 0.098, nan, nan],
[2459364.65690, 29.960, 2.937, -87.006, 0.171],
[2459563.01470, nan, nan, nan, nan]
