[2458979.67208, -74.405, 1.156, 0.819, -114.185, 1.265, 0.893],
[2459043.62931, -78.788, 2.227, 2.273, -45.276, 3.295, 3.249],
[2459044.62305, 11.986, 0.792, 0.623, -27.451, 1.052, 0.920],
[2459176.00939, -17.319, 0.716, 0.719, 21.467, 1.118, 1.243],
[2459187.97904, 14.093, 0.647, 3.860, -25.885, 24.441, 0.612],
[2459245.87319, -17.470, 0.834, 0.889, 18.965, 0.869, 0.878],
[2459246.86892, -80.958, 3.460, 1.617, -41.717, 2.548, 5.493],
[2459303.67884, 12.986, 0.983, 1.016, -23.791, 1.788, 1.706],
[2459304.77712, -99.908, 0.618, 0.572, -68.777, 1.103, 0.785],
[2459327.77066, -1.151, 0.655, 28.110, -41.146, 0.837, 0.563],
[2459328.66012, 9.368, 0.463, 0.488, 43.384, 0.393, 0.449],
[2459328.71338, 22.280, 21.822, 0.838, -11.606, 22.735, 0.963],
[2459329.72210, 12.872, 1.236, 0.848, -27.040, 1.751, 1.225],
[2459364.64072, -51.706, 0.551, 0.484, -20.472, 0.772, 0.690],
[2459563.00509, -110.841, 1.027, 1.001, -77.193, 1.334, 1.149]
