[2459067.90361, -30.781, 0.345, 0.276, -11.086, 0.452, 0.410],
[2459095.83758, 26.994, 1.042, 0.521, 8.384, 1.402, 0.760],
[2459119.77921, -65.982, 0.527, 0.676, -45.840, 0.610, 0.768],
[2459120.78398, -21.588, 0.518, 0.528, -39.275, 0.549, 0.526],
[2459174.63961, -12.151, 0.767, 0.689, 5.610, 0.809, 0.798],
[2459188.61673, -67.109, 0.242, 0.241, -66.881, 7.501, 0.786],
[2459403.93809, -50.673, 1.072, 1.673, -34.489, 0.868, 1.310],
[2459452.89415, -2.269, 0.514, 0.662, -20.138, 0.551, 0.565],
[2459453.93685, -40.247, 0.441, 0.441, -57.993, 0.639, 0.620],
[2459490.81308, -78.625, 10.861, 6.484, -65.165, 21.450, 18.761],
[2459539.75575, 19.596, 0.454, 0.517, 39.986, 0.443, 0.497]
