[2459067.90361, 26.428, 0.820, -7.790, 0.001],
[2459095.83758, 14.406, 0.307, 15.106, 0.421],
[2459119.77921, 21.918, 0.535, 6.599, 0.637],
[2459120.78398, 17.331, 0.345, nan, nan],
[2459174.63961, 24.651, 3.025, -16.732, 0.210],
[2459188.61673, nan, nan, -3.829, 0.206],
[2459403.93809, 14.934, 0.300, 13.725, 0.233],
[2459452.89415, 27.375, 3.146, -24.506, 0.113],
[2459453.93685, nan, nan, -56.648, 0.185],
[2459490.81308, 25.409, 0.113, 4.535, 0.599],
[2459539.75575, 20.672, 0.601, 8.051, 0.404]
