Star, N, RV1_amp, rv1_hi, rv1_lo, RV2_amp, rv2_hi, rv2_lo
['ASASJ162510+0514.9', 9, 67.998, 5.394, 3.434, 37.858, 7.865, 4.184],
['BD+142519', 7, 47.688, 0.674, 0.755, 27.563, 0.782, 0.901]
['BD+201895', 3, 8.755, 0.225, 0.203, 10.505, 0.274, 0.288]
['CGTri', 12, 61.635, 3.206, 18.519, 48.988, 6.883, 31.081]
['FNCom', 13, 44.937, 1.393, 1.066, 45.832, 2.145, 1.734]
['GSC02769-00149', 11, 28.684, 0.429, 0.799, 16.784, 1.083, 1.940]
['HRPsc', 12, 23.317, 2.111, 1.897, 31.037, 2.689, 2.875]
['HUVir', 12, 51.767, 1.224, 1.459, 44.232, 1.578, 1.868]
['KLCnc', 5, 1.224, 1.334, 0.498, 44.323, 1.770, 1.837]
['MXDra', 9, 49.260, 0.673, 12.646, 37.932, 14.477, 3.285]
['NRLib', 8, 48.808, 2.253, 1.901, 45.536, 3.085, 2.810]
['ROTSE1J183703.58+280017.1', 5, 19.354, 0.370, 0.374, 15.895, 0.691, 0.687]
['RXJ1112.4+3950', 15, 66.561, 21.822, 28.110, 78.784, 24.441, 5.493]
['TYC2645-156-1', 6, 29.514, 3.405, 1.027, 38.149, 1.023, 12.556]
['TYC4667-90-1', 11, 52.809, 10.861, 6.484, 53.434, 21.450, 18.761]
['V457Vir', 6, 38.853, 12.453, 2.586, 59.080, 31.122, 1.397]
