TYC4667-90-1
Avg RV: -28.86 km/s
RV STD: 33.426592842988185 km/s
Vsini: 25.00363636363636 km/s
Vsini STD: 1.4819352993315726 km/s
['Filename', 'BJD', 'BVCORR', 'RV', 'RV Upper Error', 'RV Lower Error', 'Vsini', 'Vsini Error', 'redshift'],
['TYC4667-90-1_2020-08-06_0_4600_4.5.p', 2459067.903611289, 21.641, -20.04, 0.18, -0.21, 26.43, 0.14, -6.684624646151029e-05],
['TYC4667-90-1_2020-09-03_0_4600_4.5.p', 2459095.83758271, 10.255, 22.92, 0.2, -0.18, 24.35, 0.21, 7.645289265957165e-05],
['TYC4667-90-1_2020-09-27_0_4600_4.5.p', 2459119.7792143417, -1.615, -61.19, 0.16, -0.16, 26.23, 0.24, -0.00020410787529839394],
['TYC4667-90-1_2020-09-28_0_4600_4.5.p', 2459120.783983253, -2.142, -26.93, 0.3, -0.27, 23.25, 0.19, -8.982881323395569e-05],
['TYC4667-90-1_2020-11-21_0_4600_4.5.p', 2459174.6396068484, -25.378, -3.1, 0.14, -0.13, 24.56, 0.19, -1.0340487227079934e-05],
['TYC4667-90-1_2020-12-05_0_4600_4.5.p', 2459188.6167272655, -28.62, -67.19, 0.15, -0.18, 22.61, 0.21, -0.00022412172154435508],
['TYC4667-90-1_2021-07-08_0_4600_4.5.p', 2459403.9380938183, 28.483, -43.39, 0.35, -0.42, 23.71, 0.16, -0.00014473346476870914],
['TYC4667-90-1_2021-08-26_0_4600_4.5.p', 2459452.8941489425, 13.895, -15.8, 0.23, -0.24, 27.61, 0.11, -5.270312844769773e-05],
['TYC4667-90-1_2021-08-27_0_4600_4.5.p', 2459453.9368523182, 13.33, -50.06, 0.16, -0.16, 24.44, 0.19, -0.00016698219051213597],
['TYC4667-90-1_2021-10-03_0_4600_4.5.p', 2459490.8130843714, -4.647, -78.81, 0.15, -0.17, 25.33, 0.21, -0.0002628818704406999],
['TYC4667-90-1_2021-11-21_0_4600_4.5.p', 2459539.755745773, -25.573, 26.13, 0.26, -0.24, 26.52, 0.22, 8.716030040116087e-05]

